Time,Sample,q_0,q_1,q_inf,Cohort
19,m4,6,2.6294858319826697,1.9684604904632155,colonized
1,m5,17,1.5889936657538224,1.15059351448789,abx_only
2,m5,11,1.0767259514518621,1.0116679031496594,abx_only
3,m5,14,1.0844745567964926,1.0133936865573328,abx_only
4,m5,8,1.0876720008803171,1.015383053256841,abx_only
5,m5,4,1.0387491800790127,1.0060868252930228,abx_only
6,m5,4,1.0526714441002933,1.0088102764140159,abx_only
7,m5,11,1.0911093747190657,1.0157956219208695,abx_only
8,m5,11,1.7699575439204378,1.3085294310077857,abx_only
9,m5,4,1.7287127934359245,1.2979146837414555,abx_only
10,m5,3,1.6557120753276098,1.2026777359214915,abx_only
11,m5,4,2.432250081873038,1.9311547164212322,abx_only
12,m5,6,2.327925088827817,2.011198525763697,abx_only
13,m5,7,2.193746084471526,1.6236150157102696,abx_only
14,m5,3,2.1643407532555115,1.6728002543518001,abx_only
15,m5,5,2.252711925558144,1.7410399109556367,abx_only
16,m5,5,2.3322959145285607,1.7442130062450918,abx_only
17,m5,4,2.068368506319416,1.752749861517765,abx_only
18,m5,6,2.194030866918257,1.6933028919330289,abx_only
1,m6,7,1.016537931833894,1.0019007569386038,abx_only
2,m6,3,1.0056524035752858,1.000629326620516,abx_only
3,m6,3,1.0047839934412595,1.0002697644619043,abx_only
4,m6,3,1.006286557681128,1.0007004903432404,abx_only
5,m6,3,1.0130372042219304,1.0016038058854269,abx_only
6,m6,4,1.0103789490410946,1.0011996774637637,abx_only
7,m6,8,1.0814704319641344,1.012380346861644,abx_only
8,m6,7,1.6477851179050877,1.174811732513173,abx_only
9,m6,3,1.732882959284411,1.201721020140924,abx_only
10,m6,5,1.856620730233856,1.2387991906511955,abx_only
11,m6,3,2.2165168645186757,1.7606804494065438,abx_only
12,m6,4,2.075026350900255,1.7409975916199982,abx_only
13,m6,5,1.9978278468075115,1.522990092328456,abx_only
14,m6,3,2.1569585163956138,1.7530976569381642,abx_only
15,m6,4,2.080788242224701,1.639299472692003,abx_only
16,m6,3,2.1950510483393764,1.8055265220799581,abx_only
17,m6,3,2.1175535879763574,1.7276532691239117,abx_only
18,m6,3,2.0785301428403367,1.7107702373596017,abx_only
1,m7,7,1.0086230847165043,1.0009034465524864,abx_only
2,m7,4,1.0065813266671992,1.0007150456059575,abx_only
3,m7,3,1.021216650087993,1.000211364356924,abx_only
4,m7,6,1.0432736465815495,1.0058844238796962,abx_only
5,m7,4,1.0161317388316915,1.0019764544126493,abx_only
6,m7,5,1.0308509962374686,1.0044900361557219,abx_only
7,m7,5,1.0634727886744726,1.0098888628708325,abx_only
8,m7,3,1.496372988660164,1.136320593916897,abx_only
9,m7,3,1.755196079489624,1.2294397234624803,abx_only
10,m7,3,2.0716111345922084,1.3718691316882223,abx_only
11,m7,3,2.011757895783447,1.6101331043366252,abx_only
12,m7,4,2.0709880159915293,1.758190236183555,abx_only
13,m7,4,2.2577896956496883,1.720050977060323,abx_only
14,m7,3,2.06568248782245,1.5970706658108187,abx_only
15,m7,4,2.2016356933912213,1.8257985508725378,abx_only
