ID,time,frequency,cluster,cluster_orig
94,5,7.106353743152511e-5,4,1
94,15,0,4,1
94,18,0,4,1
94,9,8.077767358953768e-6,4,1
94,8,5.4411752938634744e-6,4,1
94,3,1.5293641744912762e-5,4,1
94,14,3.692322151751084e-6,4,1
94,13,1.6973122042857811e-6,4,1
94,17,0,4,1
94,16,0,4,1
94,2,7.1346542505388725e-6,4,1
94,4,4.5170657252581213e-5,4,1
94,11,4.626873498193977e-6,4,1
94,7,1.5348848297535138e-5,4,1
94,6,5.774968511903533e-5,4,1
94,10,6.591850123109966e-6,4,1
94,12,0,4,1
240,5,2.943303229440033e-5,6,2
240,15,6.209502401525054e-6,6,2
240,18,3.3100504385485824e-6,6,2
240,9,6.731472799128139e-5,6,2
240,8,8.00172837332864e-5,6,2
240,3,7.493884455007253e-5,6,2
240,14,3.1552571114963805e-5,6,2
240,13,2.7156995268572497e-6,6,2
240,17,7.077552929640438e-6,6,2
240,16,5.1540955632752455e-6,6,2
240,2,1.2924700584630034e-4,6,2
240,4,1.1320547434906156e-4,6,2
240,11,3.670652975233888e-5,6,2
240,7,8.588823621812216e-5,6,2
240,6,1.2388759265759535e-4,6,2
240,10,4.814916611662932e-5,6,2
240,12,2.7066159297443995e-5,6,2
286,5,3.640680481100148e-4,4,1
286,15,4.829612978963931e-6,4,1
286,18,0,4,1
286,9,3.3320790355684294e-5,4,1
286,8,4.6730093700239253e-5,4,1
286,3,1.0195761163275174e-5,4,1
286,14,3.3566565015918944e-6,4,1
286,13,1.2560110311714782e-5,4,1
286,17,2.895362562125634e-6,4,1
286,16,0,4,1
286,2,1.4818128058811505e-5,4,1
286,4,1.39415608804263e-5,4,1
286,11,1.1721412862091408e-5,4,1
286,7,6.82533892379754e-5,4,1
286,6,1.887350044393054e-4,4,1
286,10,1.5476517680345137e-5,4,1
286,12,3.783441622223354e-6,4,1
347,5,1.0686046860039036e-4,4,1
347,15,0,4,1
347,18,0,4,1
347,9,4.375457319433291e-6,4,1
347,8,8.00172837332864e-6,4,1
347,3,1.8862158152059072e-5,4,1
347,14,0,4,1
347,13,0,4,1
347,17,1.2868278053891704e-6,4,1
347,16,1.1894066684481336e-6,4,1
347,2,2.826420722328861e-5,4,1
347,4,2.648896567280997e-5,4,1
347,11,2.7761240989163863e-6,4,1
347,7,1.6328562018654404e-5,4,1
347,6,5.516869360533542e-5,4,1
347,10,6.018645764578665e-6,4,1
347,12,2.037237796581806e-6,4,1
613,5,1.877350167967156e-4,3,3
613,15,0,3,3
613,18,3.310050438548583e-7,3,3
613,9,1.6155534717907536e-5,3,3
613,8,2.2084770310387045e-5,3,3
613,3,0,3,3
613,14,2.013993900955137e-6,3,3
613,13,2.0367746451429376e-6,3,3
613,17,0,3,3
613,16,1.1894066684481336e-6,3,3
613,2,0,3,3
613,4,1.4220392098034826e-5,3,3
613,11,6.169164664258636e-6,3,3
613,7,3.592283644103969e-5,3,3
613,6,8.259172843839689e-5,3,3
613,10,1.4043506784016884e-5,3,3
613,12,3.201373680342838e-6,3,3
886,5,3.958875424823395e-4,3,3
886,15,1.4143866581251512e-5,3,3
886,18,6.620100877097165e-6,3,3
886,9,5.452492967293793e-5,3,3
886,8,6.593424179622799e-5,3,3
886,3,8.666396988783899e-6,3,3
886,14,7.720309953661357e-6,3,3
886,13,1.4596884956857718e-5,3,3
886,17,2.2519486594310483e-6,3,3
886,16,8.722315568619645e-6,3,3
886,2,4.9393760196038346e-6,3,3
886,4,2.78831217608526e-7,3,3
886,11,2.405974219060868e-5,3,3
886,7,1.015636557560304e-4,3,3
886,6,2.810054510540769e-4,3,3
886,10,4.728935957883237e-5,3,3
886,12,2.4737887529921932e-5,3,3
960,5,1.6625685809539643e-4,3,3
960,15,5.174585334604211e-6,3,3
960,18,6.951105920952023e-6,3,3
960,9,5.688094515263278e-5,3,3
960,8,8.417818248741729e-5,3,3
960,3,2.5489402908187937e-7,3,3
960,14,1.5440619907322714e-5,3,3
960,13,1.3239035193429092e-5,3,3
960,17,9.65120854041878e-7,3,3
960,16,1.2687004463446755e-5,3,3
960,2,1.1250800933542068e-5,3,3
960,4,0,3,3
960,11,1.850749399277591e-5,3,3
960,7,1.03849654438642e-4,3,3
960,6,2.3745121926039108e-4,3,3
960,10,3.811808984233154e-5,3,3
960,12,2.124547987863883e-5,3,3
1107,5,3.579693116886526e-5,5,4
1107,15,0,5,4
1107,18,9.930151315645748e-7,5,4
1107,9,2.019441839738442e-6,5,4
1107,8,5.4411752938634744e-6,5,4
1107,3,6.525287144496112e-5,5,4
1107,14,0,5,4
1107,13,3.394624408571562e-7,5,4
1107,17,0,5,4
1107,16,7.929377789654223e-7,5,4
1107,2,3.3203583242892446e-5,5,4
1107,4,1.031675505151546e-5,5,4
1107,11,6.169164664258636e-7,5,4
1107,7,2.9391411633577925e-6,5,4
1107,6,1.355020544692449e-5,5,4
1107,10,5.732043585313014e-6,5,4
1107,12,4.074475593163612e-6,5,4
1177,5,4.189566759022749e-5,4,1
1177,15,2.4148064894819654e-6,4,1
1177,18,0,4,1
1177,9,1.8848123837558792e-5,4,1
1177,8,1.3442903667192114e-5,4,1
1177,3,2.803834319900673e-6,4,1
1177,14,6.377647353024599e-6,4,1
1177,13,1.6973122042857811e-6,4,1
1177,17,0,4,1
1177,16,1.1894066684481336e-6,4,1
1177,2,2.0031913857282215e-5,4,1
1177,4,2.9556109066503756e-5,4,1
1177,11,6.169164664258636e-6,4,1
1177,7,3.0697696595070276e-5,4,1
1177,6,6.129854845037269e-5,4,1
1177,10,1.5189915501079488e-5,4,1
1177,12,1.45516985470129e-6,4,1
1420,5,7.000288761911429e-5,3,3
1420,15,7.934364179726457e-6,3,3
1420,18,0,3,3
1420,9,1.110693011856143e-5,3,3
1420,8,1.376297280212526e-5,3,3
1420,3,0,3,3
1420,14,0,3,3
1420,13,2.376237086000094e-6,3,3
1420,17,0,3,3
1420,16,2.3788133368962672e-6,3,3
1420,2,2.744097788668797e-7,3,3
1420,4,0,3,3
1420,11,7.711455830323295e-6,3,3
1420,7,3.4289980239174244e-5,3,3
1420,6,4.7748343003448206e-5,3,3
1420,10,6.878452302375617e-6,3,3
1420,12,5.82067941880516e-7,3,3
1421,5,2.5084368063515956e-4,4,1
1421,15,0,4,1
1421,18,0,4,1
1421,9,2.0530992037340823e-5,4,1
1421,8,2.016435550078817e-5,4,1
1421,3,5.403753416535842e-5,4,1
1421,14,1.0069969504775684e-6,4,1
1421,13,1.6973122042857811e-6,4,1
1421,17,1.9302417080837557e-6,4,1
1421,16,0,4,1
1421,2,5.2137857984707145e-5,4,1
1421,4,7.389027266625939e-5,4,1
1421,11,5.860706431045704e-6,4,1
1421,7,4.539340241185924e-5,4,1
1421,6,1.677644483904937e-4,4,1
