ID,time,frequency,cluster,cluster_orig
155,18,6.060058818930897e-6,4,1
155,11,3.872944112167125e-5,4,1
155,15,0,4,1
155,7,1.2484078969841376e-4,4,1
155,9,8.520409576088322e-5,4,1
155,5,1.2720456441778273e-5,4,1
155,3,1.0099638780575008e-4,4,1
155,13,9.321515794183502e-6,4,1
155,4,7.668177065179504e-5,4,1
155,6,1.693121486589941e-4,4,1
155,17,5.2962001800708065e-6,4,1
155,8,9.5073384028618275e-05,4,1
155,2,1.372648662317329e-4,4,1
155,10,6.113292656663209e-5,4,1
155,16,4.743267270913743e-6,4,1
155,12,3.612448497522463e-5,4,1
179,18,0,3,2
179,11,1.0411140086470763e-5,3,2
179,15,6.322231494828415e-7,3,2
179,7,1.2484078969841376e-4,3,2
179,9,3.088648471332017e-5,3,2
179,5,3.0091829770081724e-4,3,2
179,3,3.5064027813865755e-5,3,2
179,13,3.5357473702075353e-6,3,2
179,4,9.095586648741058e-5,3,2
179,6,1.4711127614030757e-4,3,2
179,17,0,3,2
179,8,5.7201828564936303e-05,3,2
179,2,2.49080230637464e-5,3,2
179,10,2.327395681470765e-5,3,2
179,16,1.6940240253263368e-6,3,2
179,12,6.020747495870771e-6,3,2
547,18,0,3,2
547,11,0,3,2
547,15,0,3,2
547,7,3.331640706675459e-5,3,2
547,9,1.1360546101451096e-5,3,2
547,5,1.152791365036156e-4,3,2
547,3,1.2587086907541552e-5,3,2
547,13,9.642947373293278e-7,3,2
547,4,8.962804361898123e-6,3,2
547,6,4.2450019980785264e-5,3,2
547,17,0,3,2
547,8,1.1045870343573907e-5,3,2
547,2,6.497745147064278e-6,3,2
547,10,0,3,2
547,16,0,3,2
547,12,1.003457915978462e-6,3,2
601,18,3.0300294094654485e-6,3,2
601,11,5.788593888077746e-5,3,2
601,15,5.373896770604152e-6,3,2
601,7,9.627292800669084e-4,3,2
601,9,2.566773384796607e-4,3,2
601,5,0.00281320844495202,3,2
601,3,2.637294399675373e-5,3,2
601,13,2.989313685720916e-5,3,2
601,4,6.662351242344272e-4,3,2
601,6,0.00146232999864843,3,2
601,17,2.444400083109603e-6,3,2
601,8,5.877981004258973e-4,3,2
601,2,4.60256947917053e-6,3,2
601,10,1.2785160276879403e-4,3,2
601,16,4.065657660783208e-6,3,2
601,12,3.6458970947217445e-5,3,2
643,18,0,3,2
643,11,1.4992041724517902e-5,3,2
643,15,0,3,2
643,7,7.697238874043303e-5,3,2
643,9,1.5975767955165604e-5,3,2
643,5,2.4884392914228747e-4,3,2
643,3,2.996925454176561e-7,3,2
643,13,9.642947373293278e-7,3,2
643,4,8.796826503344454e-5,3,2
643,6,1.2100695350844536e-4,3,2
643,17,1.629600055406402e-6,3,2
643,8,5.325687487080277e-5,3,2
643,2,0,3,2
643,10,1.4895332361412898e-5,3,2
643,16,3.3880480506526733e-7,3,2
643,12,5.017289579892309e-6,3,2
743,18,3.0300294094654485e-6,3,2
743,11,2.457029060407101e-5,3,2
743,15,3.7933388968970488e-6,3,2
743,7,2.3053421901363523e-4,3,2
743,9,6.567815714901416e-5,3,2
743,5,7.298361883470284e-4,3,2
743,3,5.993850908353121e-7,3,2
743,13,1.0607242110622609e-5,3,2
743,4,1.447326926587993e-4,3,2
743,6,3.686320700630261e-4,3,2
743,17,4.074000138516005e-7,3,2
743,8,1.4990824037707445e-4,3,2
743,2,1.3266229675256234e-5,3,2
743,10,3.4445456085767324e-5,3,2
743,16,2.3716336354568714e-6,3,2
743,12,1.0703551103770258e-5,3,2
956,18,5.757055877984352e-6,3,2
956,11,5.830238448423628e-5,3,2
956,15,4.1094504716384695e-6,3,2
956,7,5.529757678665935e-4,3,2
956,9,1.7253829391578854e-4,3,2
956,5,0.00135075346841133,3,2
956,3,3.3865257632195134e-5,3,2
956,13,1.0607242110622609e-5,3,2
956,4,4.1328486779863567e-4,3,2
956,6,7.038408485319856e-4,3,2
956,17,5.2962001800708065e-6,3,2
956,8,2.7180730952580076e-4,3,2
956,2,2.978133192404461e-6,3,2
956,10,8.657911935071246e-5,3,2
956,16,5.420876881044277e-6,3,2
956,12,4.047280261113129e-5,3,2
1135,18,0,6,3
1135,11,2.9151192242118143e-6,6,3
1135,15,6.322231494828415e-7,6,3
1135,7,1.6083782721881526e-5,6,3
1135,9,1.207058023279179e-5,6,3
1135,5,1.3912999233194983e-5,6,3
1135,3,1.1957732562164476e-4,6,3
1135,13,6.750063161305295e-6,6,3
1135,4,4.846553469767133e-5,6,3
1135,6,1.4881903556482192e-5,6,3
1135,17,0,6,3
1135,8,1.1834861082400614e-5,6,3
1135,2,1.9195422121952389e-4,6,3
1135,10,4.65479136294153e-6,6,3
1135,16,3.3880480506526733e-7,6,3
1135,12,2.341401803949744e-6,6,3
1146,18,0,3,2
1146,11,9.578248879553104e-6,3,2
1146,15,3.477227322155628e-6,3,2
1146,7,1.478176221582445e-4,3,2
1146,9,3.976191135507884e-5,3,2
1146,5,4.591289746954345e-4,3,2
1146,3,1.069902387141032e-4,3,2
1146,13,7.071494740415071e-6,3,2
1146,4,1.613304785141662e-4,3,2
1146,6,2.515285666677564e-4,3,2
1146,17,4.074000138516005e-7,3,2
1146,8,8.678898127093785e-5,3,2
1146,2,1.1316906131136952e-4,3,2
1146,10,2.9790664722825795e-5,3,2
1146,16,0,3,2
1146,12,6.689719439856412e-6,3,2
1244,18,6.666064700823986e-6,3,2
1244,11,1.4992041724517903e-4,3,2
1244,15,1.5805578737071035e-5,3,2
1244,7,0.00177381146589893,3,2
1244,9,6.131144724126888e-4,3,2
1244,5,0.00520584679879775,3,2
1244,3,8.151637235360244e-5,3,2
1244,13,5.2071915815783706e-5,3,2
1244,4,0.0011810984414679,3,2
1244,6,0.00283268495400515,3,2
1244,17,1.4259000484806016e-5,3,2
1244,8,0.00116336684439998,3,2
1244,2,1.461992658089463e-4,3,2
1244,10,3.1931868749778897e-4,3,2
1244,16,1.4229801812741228e-5,3,2
1244,12,8.997672646606875e-5,3,2
1394,18,9.090088228396344e-7,3,2
1394,11,9.994694483011935e-6,3,2
1394,15,1.264446298965683e-6,3,2
1394,7,1.3632920592832913e-4,3,2
1394,9,3.3371604173012593e-5,3,2
1394,5,4.539612892659621e-4,3,2
1394,3,2.097847817923592e-6,3,2
1394,13,6.428631582195519e-7,3,2
1394,4,1.6332221281681024e-4,3,2
1394,6,2.081026841586772e-4,3,2
1394,17,2.0370000692580023e-6,3,2
1394,8,6.627522206144344e-5,3,2
1394,2,2.707393811276783e-7,3,2
1394,10,1.955012372435443e-5,3,2
1394,16,1.3552192202610691e-6,3,2
1394,12,5.351775551885129e-6,3,2
1419,18,0,3,2
1419,11,0,3,2
1419,15,0,3,2
1419,7,5.935681718789611e-5,3,2
1419,9,7.455358379077282e-6,3,2
1419,5,1.6655847653453e-4,3,2
1419,3,2.996925454176561e-7,3,2
1419,13,0,3,2
1419,4,3.8174907467343854e-5,3,2
1419,6,8.319228053705619e-5,3,2
1419,17,0,3,2
