cutoff,n_clusters,dist_spread
0.1,17,1.247471120632064
0.11,20,2.0371851535816194
0.12,21,2.076262052845624
0.13,21,2.076262052845624
0.14,22,2.076262052845624
0.15,25,1.987230229507516
0.16,26,1.987230229507516
0.17,27,1.987230229507516
0.18,29,1.6877989650733576
0.19,28,2.0500970194258583
0.2,26,1.9453170630694097
0.21,25,1.9453170630694097
0.22,26,2.4674806291597577
0.23,25,2.4674806291597577
0.24,24,2.1431182848491463
0.25,25,2.1431182848491463
0.26,26,2.1431182848491463
0.27,26,2.4664822602835765
0.28,27,2.4664822602835765
0.29,24,2.4664822602835765
0.3,24,2.256648566745467
0.31,26,2.4664822602835765
0.32,25,3.5683994913392794
0.33,25,3.5683994913392794
0.34,25,3.526880317763075
0.35,23,3.76468923862319
0.36,22,3.76468923862319
0.37,22,3.7053875795749476
0.38,22,3.7053875795749476
0.39,23,3.7053875795749476
0.4,23,3.7053875795749476
0.41,22,4.557665353498189
0.42,20,4.557665353498189
0.43,19,4.557665353498189
0.44,19,4.557665353498189
0.45,17,4.557665353498189
0.46,16,4.557665353498189
0.47,16,4.557665353498189
0.48,15,5.143538757073834
0.49,15,5.100213242690568
0.5,14,5.073430664676781
0.51,14,5.073430664676781
0.52,13,5.073430664676781
0.53,13,5.073430664676781
0.54,13,5.073430664676781
0.55,12,5.0195534581077075
0.56,12,5.0195534581077075
0.57,12,5.0195534581077075
0.58,11,5.0195534581077075
0.59,10,4.905323975568306
0.6,10,4.905323975568306
0.61,9,4.82582419523673
0.62,9,4.82582419523673
0.63,9,4.905323975568306
0.64,9,4.905323975568306
0.65,9,4.905323975568306
0.66,9,4.905323975568306
0.67,8,4.905323975568306
0.68,8,4.905323975568306
0.69,8,4.905323975568306
0.7,8,4.905323975568306
0.71,7,4.905323975568306
0.72,7,4.905323975568306
0.73,7,4.905323975568306
0.74,7,4.905323975568306
0.75,7,4.905323975568306
0.76,6,4.905323975568306
0.77,5,5.88341813832475
0.78,5,5.88341813832475
0.79,4,5.659174259931315
0.8,4,5.659174259931315
0.81,4,5.659174259931315
0.82,4,5.659174259931315
0.83,4,5.659174259931315
0.84,4,5.659174259931315
0.85,4,5.659174259931315
0.86,4,5.659174259931315
0.87,4,5.659174259931315
0.88,4,5.659174259931315
0.89,4,5.659174259931315
0.9,3,7.449619623785565
0.91,3,7.449619623785565
0.92,3,7.449619623785565
0.93,3,7.449619623785565
0.94,3,7.449619623785565
0.95,2,10.967534882961717
0.96,2,10.967534882961717
0.97,2,10.967534882961717
0.98,2,10.967534882961717
0.99,2,10.967534882961717
1,2,10.967534882961717
1.01,2,10.967534882961717
1.02,2,10.967534882961717
1.03,2,10.967534882961717
1.04,2,10.967534882961717
1.05,2,10.967534882961717
1.06,2,10.967534882961717
1.07,2,10.967534882961717
1.08,2,10.967534882961717
1.09,2,10.967534882961717
1.1,2,10.967534882961717
