cutoff,n_clusters,dist_spread
0.1,26,3.282132562135999
0.11,25,3.282132562135999
0.12,25,2.226573602445298
0.13,24,2.226573602445298
0.14,22,2.226573602445298
0.15,21,2.226573602445298
0.16,20,2.7271431853687216
0.17,19,2.834261667741214
0.18,17,2.834261667741214
0.19,16,3.3576233790285688
0.2,17,3.3576233790285688
0.21,15,3.3576233790285688
0.22,14,3.4742419016245076
0.23,14,3.4742419016245076
0.24,14,3.592294947848721
0.25,14,4.588226946726535
0.26,14,4.588226946726535
0.27,16,4.432774551025999
0.28,16,4.432774551025999
0.29,16,4.034977953357729
0.3,15,4.5143556799594755
0.31,15,4.5143556799594755
0.32,15,4.5143556799594755
0.33,15,4.5143556799594755
0.34,15,4.5143556799594755
0.35,14,4.716083497160778
0.36,12,4.716083497160778
0.37,12,4.7273306313167085
0.38,10,4.929763478858984
0.39,10,4.929763478858984
0.4,10,4.805265181249517
0.41,9,4.805265181249517
0.42,7,6.623420920431958
0.43,7,6.623420920431958
0.44,7,6.623420920431958
0.45,7,6.623420920431958
0.46,7,6.623420920431958
0.47,6,6.623420920431958
0.48,6,6.623420920431958
0.49,6,6.623420920431958
0.5,6,6.623420920431958
0.51,6,6.623420920431958
0.52,6,6.623420920431958
0.53,6,6.623420920431958
0.54,5,6.623420920431958
0.55,5,6.623420920431958
0.56,5,6.623420920431958
0.57,5,6.623420920431958
0.58,5,6.623420920431958
0.59,5,6.623420920431958
0.6,4,8.2076318301696
0.61,4,8.2076318301696
0.62,4,8.2076318301696
0.63,4,8.2076318301696
0.64,4,8.2076318301696
0.65,4,8.2076318301696
0.66,4,8.2076318301696
0.67,4,8.2076318301696
0.68,4,8.2076318301696
0.69,4,8.2076318301696
0.7,4,8.2076318301696
0.71,4,8.2076318301696
0.72,4,8.2076318301696
0.73,4,8.2076318301696
0.74,4,8.2076318301696
0.75,4,8.2076318301696
0.76,4,8.141541640535596
0.77,4,8.141541640535596
0.78,4,8.141541640535596
0.79,3,9.291912010219516
0.8,3,9.291912010219516
0.81,3,9.291912010219516
0.82,3,9.291912010219516
0.83,3,9.291912010219516
0.84,3,9.130055235089394
0.85,3,9.130055235089394
0.86,3,9.130055235089394
0.87,3,9.130055235089394
0.88,3,9.130055235089394
0.89,3,9.130055235089394
0.9,3,9.130055235089394
0.91,3,9.130055235089394
0.92,2,7.841834800251555
0.93,2,7.841834800251555
0.94,2,7.841834800251555
0.95,2,7.841834800251555
0.96,2,7.841834800251555
0.97,2,7.841834800251555
0.98,2,7.841834800251555
0.99,1,0
1,1,0
1.01,1,0
1.02,1,0
1.03,1,0
1.04,1,0
1.05,1,0
1.06,1,0
1.07,1,0
1.08,1,0
1.09,1,0
1.1,1,0
1.11,1,0
1.12,1,0
1.13,1,0
1.14,1,0
1.15,1,0
1.16,1,0
1.17,1,0
1.18,1,0
