ID,time,frequency,cluster,cluster_orig
867,13,2.0784054673582664e-5,7,4
867,5,1.2528207598303247e-4,7,4
867,1,1.855498959615935e-5,7,4
867,19,2.0772288023929675e-5,7,4
867,17,0,7,4
867,11,1.5022405918427334e-6,7,4
867,6,7.828811616977838e-5,7,4
867,9,4.350011152688168e-5,7,4
867,4,2.2535693996623477e-4,7,4
867,8,7.151992015198249e-5,7,4
867,3,2.96590584459033e-5,7,4
867,10,2.839370023294192e-7,7,4
867,12,8.34543579132817e-5,7,4
993,7,7.45761142758554e-5,2,1
993,2,4.915846328958324e-5,2,1
993,13,3.906400637444453e-5,2,1
993,5,1.1522452712575588e-4,2,1
993,1,1.2756555347359553e-5,2,1
993,19,7.360057608478786e-5,2,1
993,17,4.7176217468066704e-5,2,1
993,11,4.631908491515095e-5,2,1
993,6,6.299746848036855e-5,2,1
993,9,2.9000074351254452e-5,2,1
993,4,1.2713335871356366e-4,2,1
993,8,3.575996007599124e-5,2,1
993,3,3.32181454594117e-5,2,1
993,10,5.224440842861312e-5,2,1
993,12,3.66442648061152e-5,2,1
1128,7,0.02236044389386439,2,1
1128,2,8.340084428958436e-4,2,1
1128,13,0.0115501749616747,2,1
1128,5,0.03434959034073007,2,1
1128,1,0.0010237135666256,2,1
1128,19,0.009406256202836,2,1
1128,17,0.00718879779272485,2,1
1128,11,0.01054372596728019,2,1
1128,6,0.02515739683043222,2,1
1128,9,0.01178945575807274,2,1
1128,4,0.01557923525627472,2,1
1128,8,0.01764422919008723,2,1
1128,3,0.00132089582694674,2,1
1128,10,0.00986823051595896,2,1
1128,12,0.01138998316018721,2,1
1137,7,0.00252974336231671,1,6
1137,2,0,1,6
1137,13,0.00950407242266453,1,6
1137,5,0.00648733765530987,1,6
1137,1,0,1,6
1137,19,0.01375458849584528,1,6
1137,17,0.01158104659723661,1,6
1137,11,0.00469700558382828,1,6
1137,6,0.003162513692775,1,6
1137,9,0.00165578084088492,1,6
1137,4,0.00289202267780471,1,6
1137,8,0.00215990158858987,1,6
1137,3,4.8403583383714184e-5,1,6
1137,10,0.00307844497925556,1,6
1137,12,0.00832203074477458,1,6
1217,7,4.628862265397922e-5,8,2
1217,2,1.6292519261690445e-5,8,2
1217,13,2.504102972720803e-7,8,2
1217,5,1.7775624393404085e-4,8,2
1217,1,7.161066297267749e-5,8,2
1217,19,3.3338240038405654e-5,8,2
1217,17,2.5160649316302243e-5,8,2
1217,11,8.838182148674749e-5,8,2
1217,6,8.868575659857708e-5,8,2
1217,9,4.9670340112254966e-5,8,2
1217,4,1.424590238735549e-4,8,2
1217,8,7.36390288972264e-5,8,2
1217,3,1.2907622235657117e-4,8,2
1217,10,2.129527517470644e-5,8,2
1217,12,2.90789972332398e-5,8,2
1314,7,0.00210052158861617,2,1
1314,2,4.972027429860705e-5,2,1
1314,13,7.439689931953506e-4,2,1
1314,5,0.00421148926280134,2,1
1314,1,7.190058468511747e-5,2,1
1314,19,4.5006624051847633e-4,2,1
1314,17,6.53319132815348e-4,2,1
