cluster,time,loess_value
1,2,-4.896819544858062
1,2.1,-4.919274580601235
1,2.2,-4.937808806300876
1,2.3,-4.952422221956987
1,2.4,-4.963114827569567
1,2.5,-4.969886623138614
1,2.6,-4.972737608664131
1,2.7,-4.971667784146116
1,2.8,-4.966677149584569
1,2.9,-4.957765704979491
1,3,-4.94493345033088
1,3.1,-4.929272404867554
1,3.2,-4.911389245938857
1,3.3,-4.8905559607255755
1,3.4000000000000004,-4.866044536408499
1,3.5,-4.837126960168416
1,3.6,-4.803075219186118
1,3.7,-4.763161300642392
1,3.8,-4.716657191718025
1,3.9000000000000004,-4.662834879593808
1,4,-4.600966351450531
1,4.1,-4.526793091851295
1,4.2,-4.438704235143675
1,4.300000000000001,-4.339943243185162
1,4.4,-4.233753577833251
1,4.5,-4.12337870094543
1,4.6,-4.012062074379197
1,4.7,-3.9030471599920395
1,4.800000000000001,-3.7995774196414516
1,4.9,-3.704896315184927
1,5,-3.622247308479957
1,5.1,-3.5489371193223236
1,5.2,-3.480105890857469
1,5.300000000000001,-3.4157472199673773
1,5.4,-3.355854703534031
1,5.5,-3.3004219384394116
1,5.6,-3.2494425215655025
1,5.7,-3.2029100497942853
1,5.800000000000001,-3.1608181200077436
1,5.9,-3.12316032908786
1,6,-3.0899302739166172
1,6.1000000000000005,-3.06316133324502
1,6.2,-3.043989802205274
1,6.3,-3.0310636522511643
1,6.4,-3.0230308548364744
1,6.5,-3.0185393814149877
1,6.6000000000000005,-3.0162372034404887
1,6.7,-3.0147722923667613
1,6.800000000000001,-3.01279261964759
1,6.9,-3.0089461567367572
1,7,-3.001880875088049
1,7.1000000000000005,-2.9925095826402672
1,7.2,-2.9827414985925276
1,7.300000000000001,-2.97271921128908
1,7.4,-2.9625853090741776
1,7.5,-2.952482380292069
1,7.6000000000000005,-2.9425530132870072
1,7.7,-2.9329397964032418
1,7.800000000000001,-2.923785317985026
1,7.9,-2.9152321663766085
1,8,-2.907422929922242
1,8.100000000000001,-2.9006085022396104
1,8.2,-2.894780399277836
1,8.3,-2.8896921428783195
1,8.4,-2.885097254882468
1,8.5,-2.8807492571316833
1,8.600000000000001,-2.8764016714673697
1,8.7,-2.871808019730931
1,8.8,-2.866721823763771
1,8.9,-2.860896605407294
1,9,-2.8540858865029035
1,9.100000000000001,-2.845952341505566
1,9.2,-2.836564174313993
1,9.3,-2.826283200935204
1,9.4,-2.81547123737622
1,9.5,-2.804490099644059
1,9.600000000000001,-2.7937016037457427
1,9.7,-2.783467565688291
1,9.8,-2.7741498014787234
1,9.9,-2.7661101271240596
1,10,-2.7597103586313203
1,10.1,-2.7548869214133407
1,10.200000000000001,-2.7512292796551567
1,10.3,-2.7485788075220885
1,10.4,-2.7467768791794582
1,10.5,-2.7456648687925855
1,10.6,-2.7450841505267913
1,10.700000000000001,-2.744876098547397
1,10.8,-2.744882087019723
1,10.9,-2.7449434901090903
1,11,-2.744901681980819
1,11.1,-2.7450626067827666
1,11.200000000000001,-2.7457607343515567
1,11.3,-2.7468802273856623
1,11.4,-2.748305248583558
1,11.5,-2.749919960643715
1,11.600000000000001,-2.751608526264607
1,11.700000000000001,-2.753255108144707
1,11.8,-2.7547438689824877
1,11.9,-2.7559589714764225
1,12,-2.756784578324985
1,12.100000000000001,-2.757263405898699
1,12.200000000000001,-2.757539313086479
1,12.3,-2.757648176364377
1,12.4,-2.7576258722084472
1,12.5,-2.757508277094743
1,12.600000000000001,-2.757331267499318
1,12.700000000000001,-2.7571307198982256
1,12.8,-2.7569425107675194
1,12.9,-2.7568025165832526
1,13,-2.756746613821479
1,13.100000000000001,-2.757268818516137
1,13.200000000000001,-2.7587673138818887
1,13.3,-2.7611342271658748
1,13.4,-2.764261685615236
1,13.5,-2.7680418164771123
1,13.600000000000001,-2.772366746998645
1,13.700000000000001,-2.7771286044269745
1,13.8,-2.7822195160092407
1,13.9,-2.787531608992584
1,14,-2.792957010624146
1,14.100000000000001,-2.798387848151066
1,14.200000000000001,-2.803716248820486
1,14.3,-2.808834339879545
1,14.4,-2.8136342485753842
1,14.5,-2.818008102155144
1,14.600000000000001,-2.8218480278659652
1,14.700000000000001,-2.825046152954988
1,14.8,-2.8274946046693525
1,14.9,-2.8290855102562005
1,15,-2.8297109969626715
1,15.100000000000001,-2.829761391276119
1,15.200000000000001,-2.8297287603354686
1,15.3,-2.8296578423652186
1,15.4,-2.8295933755898686
1,15.5,-2.8295800982339174
1,15.600000000000001,-2.8296627485218626
1,15.700000000000001,-2.8298860646782042
1,15.8,-2.8302947849274402
1,15.9,-2.8309336474940707
1,16,-2.8318473906025927
1,16.1,-2.833182776182192
1,16.200000000000003,-2.8349749434421945
1,16.3,-2.83710119652731
1,16.4,-2.8394388395822516
1,16.5,-2.8418651767517287
1,16.6,-2.8442575121804525
1,16.700000000000003,-2.846493150013134
1,16.8,-2.8484493943944846
1,16.9,-2.850003549469214
1,17,-2.8510329193820345
1,17.1,-2.8516397506790194
1,17.200000000000003,-2.852008087143103
1,17.3,-2.852137928774285
1,17.4,-2.852029275572566
1,17.5,-2.8516821275379445
1,17.6,-2.851096484670422
1,17.700000000000003,-2.8502723469699975
