cluster,time,loess_value
1,1,-6.327693105859634
1,1.1,-6.257527911535513
1,1.2,-6.155609125619454
1,1.3,-6.03115553276718
1,1.4,-5.893385917634415
1,1.5,-5.751519064876885
1,1.6,-5.614773759150313
1,1.7000000000000002,-5.492368785110422
1,1.8,-5.393522927412938
1,1.9,-5.327454970713581
1,2,-5.30338369966808
1,2.1,-5.3238271904641845
1,2.2,-5.3793166654821825
1,2.3,-5.4610906286666
1,2.4000000000000004,-5.560387583961965
1,2.5,-5.668446035312803
1,2.6,-5.776504486663641
1,2.7,-5.8758014419590054
1,2.8,-5.957575405143423
1,2.9000000000000004,-6.013064880161421
1,3,-6.0335083709575255
1,3.1,-6.013225703428206
1,3.2,-5.958172748705768
1,3.3000000000000003,-5.87704207858849
1,3.4000000000000004,-5.778526264874654
1,3.5,-5.671317879362538
1,3.6,-5.564109493850421
1,3.7,-5.4655936801365845
1,3.8000000000000003,-5.384463010019308
1,3.9000000000000004,-5.329410055296869
1,4,-5.30912738776755
1,4.1,-5.2796400103158705
1,4.2,-5.1996028429470265
1,4.300000000000001,-5.081653333140308
1,4.4,-4.938428928375011
1,4.5,-4.7825670761304195
1,4.6,-4.62670522388583
1,4.7,-4.483480819120531
1,4.800000000000001,-4.365531309313813
1,4.9,-4.2854941419449695
1,5,-4.25600676449329
1,5.1000000000000005,-4.259886808152369
1,5.2,-4.270418355227011
1,5.3,-4.285938529863326
1,5.4,-4.304784456207423
1,5.5,-4.325293258405409
1,5.6000000000000005,-4.345802060603398
1,5.7,-4.364647986947494
1,5.800000000000001,-4.380168161583809
1,5.9,-4.390699708658451
1,6,-4.394579752317529
1,6.1000000000000005,-4.394886716784424
1,6.2,-4.395719906051708
1,6.300000000000001,-4.396947763919286
1,6.4,-4.398438734187058
1,6.5,-4.400061260654929
1,6.6000000000000005,-4.401683787122799
1,6.7,-4.4031747573905715
1,6.800000000000001,-4.4044026152581495
1,6.9,-4.405235804525434
1,7,-4.405542768992328
1,7.1000000000000005,-4.407420944507148
1,7.2,-4.412518849475944
1,7.300000000000001,-4.420031551535224
1,7.4,-4.4291541183214935
1,7.5,-4.439081617471254
1,7.6000000000000005,-4.449009116621017
1,7.7,-4.458131683407285
1,7.800000000000001,-4.465644385466565
1,7.9,-4.4707422904353615
1,8,-4.472620465950182
1,8.100000000000001,-4.466449250963954
1,8.2,-4.449698810287052
1,8.3,-4.425013950342144
1,8.4,-4.395039477551899
1,8.5,-4.3624201983389845
1,8.600000000000001,-4.32980091912607
1,8.7,-4.299826446335826
1,8.8,-4.275141586390917
1,8.9,-4.258391145714015
1,9,-4.252219930727788
1,9.1,-4.254708372013832
1,9.200000000000001,-4.261462712647382
1,9.3,-4.271416477791558
1,9.4,-4.283503192609488
1,9.5,-4.296656382264294
1,9.6,-4.309809571919098
1,9.700000000000001,-4.3218962867370285
1,9.8,-4.331850051881204
1,9.9,-4.338604392514754
1,10,-4.341092833800798
1,10.1,-4.33465366343137
1,10.200000000000001,-4.317175915285777
1,10.3,-4.291419233808061
1,10.4,-4.260143263442266
1,10.5,-4.226107648632428
1,10.600000000000001,-4.19207203382259
1,10.700000000000001,-4.160796063456793
1,10.8,-4.1350393819790785
1,10.9,-4.117561633833486
1,11,-4.111122463464057
1,11.100000000000001,-4.099463883884558
1,11.200000000000001,-4.06781916788306
1,11.3,-4.021184849565063
1,11.4,-3.9645574630360674
1,11.5,-3.902933542401572
1,11.600000000000001,-3.8413096217670755
1,11.700000000000001,-3.7846822352380802
1,11.8,-3.7380479169200833
1,11.9,-3.706403200918586
1,12,-3.694744621339087
1,12.100000000000001,-3.6960936341363557
1,12.200000000000001,-3.699796243728862
1,12.3,-3.705335806917649
1,12.4,-3.7121956805037644
1,12.5,-3.7198592212882526
1,12.600000000000001,-3.7278097860721595
1,12.700000000000001,-3.7355307316565316
1,12.8,-3.742505414842414
1,12.9,-3.748217192430853
1,13,-3.7521494212228936
1,13.100000000000001,-3.7543187960501667
1,13.200000000000001,-3.7551258717323015
1,13.3,-3.7546297950523413
1,13.4,-3.752889712793331
1,13.5,-3.749964771738314
1,13.600000000000001,-3.745914118670333
1,13.700000000000001,-3.7407969003724344
1,13.8,-3.7346722636276595
1,13.9,-3.7275993552190534
1,14,-3.71963732192966
1,14.100000000000001,-3.7108453105425223
1,14.200000000000001,-3.7012824678406853
1,14.3,-3.691007940607193
1,14.4,-3.680080875625088
1,14.5,-3.6685604196774144
1,14.600000000000001,-3.6565057195472175
1,14.700000000000001,-3.643975922017539
1,14.8,-3.631030173871424
1,14.9,-3.617727621891917
1,15,-3.6041274128620606
1,15.100000000000001,-3.5902886935648994
1,15.200000000000001,-3.5762706107834776
1,15.3,-3.562132311300838
1,15.4,-3.547932941900025
1,15.5,-3.5337316493640825
1,15.600000000000001,-3.5195875804760544
1,15.700000000000001,-3.505559882018984
1,15.8,-3.4917077007759163
1,15.9,-3.478090183529894
1,16,-3.464766477063962
1,16.1,-3.451795728161163
1,16.200000000000003,-3.4392370836045423
1,16.3,-3.427149690177142
1,16.4,-3.4155926946620085
1,16.5,-3.404625243842183
1,16.6,-3.394306484500711
1,16.700000000000003,-3.384695563420635
1,16.8,-3.375851627385
1,16.9,-3.3678338231768503
1,17,-3.3607012975792285
1,17.1,-3.353063952130008
1,17.2,-3.3436256605923242
1,17.3,-3.332586528087118
1,17.400000000000002,-3.32014665973533
1,17.5,-3.306506160657901
1,17.6,-3.2918651359757694
1,17.7,-3.2764236908098776
1,17.8,-3.2603819302811647
1,17.900000000000002,-3.2439399595105707
1,18,-3.227297883619037
1,18.1,-3.2106558077275027
1,18.2,-3.19421383695691
1,18.3,-3.178172076428196
1,18.400000000000002,-3.162730631262304
1,18.5,-3.1480896065801733
1,18.6,-3.1344491075027436
1,18.7,-3.122009239150956
1,18.8,-3.11097010664575
1,18.900000000000002,-3.101531815108067
1,19,-3.0938944696588457
2,1,-5.643664050444924
2,1.1,-5.596618463525982
2,1.2,-5.528282173037884
2,1.3,-5.444836350984578
2,1.4,-5.352462169370012
2,1.5,-5.257340800198137
2,1.6,-5.1656534154729
2,1.7000000000000002,-5.08358118719825
2,1.8,-5.017305287378135
2,1.9,-4.973006888016503
2,2,-4.956867161117304
2,2.1,-4.981283764967424
2,2.2,-5.0475574039891775
2,2.3,-5.145223819389657
2,2.4000000000000004,-5.263818752375954
2,2.5,-5.392877944155158
2,2.6,-5.521937135934363
2,2.7,-5.64053206892066
2,2.8,-5.7381984843211375
2,2.9000000000000004,-5.804472123342893
2,3,-5.828888727193012
2,3.1,-5.80024192685031
2,3.2,-5.72248632592012
2,3.3000000000000003,-5.607899124549314
2,3.4000000000000004,-5.468757522884763
2,3.5,-5.317338721073341
2,3.6,-5.165919919261919
2,3.7,-5.026778317597368
2,3.8000000000000003,-4.912191116226562
2,3.9000000000000004,-4.834435515296371
2,4,-4.80578871495367
2,4.1,-4.7658277803480145
2,4.2,-4.6573623864183755
2,4.300000000000001,-4.497518647995751
2,4.4,-4.303422679911137
2,4.5,-4.092200596995527
2,4.6,-3.880978514079917
2,4.7,-3.686882545995301
2,4.800000000000001,-3.5270388075726764
2,4.9,-3.4185734136430392
2,5,-3.3786124790373835
2,5.1000000000000005,-3.4047519342413364
2,5.2,-3.4757018840806357
2,5.3,-3.580259704896446
2,5.4,-3.70722277302993
2,5.5,-3.84538846482225
2,5.6000000000000005,-3.983554156614571
2,5.7,-4.110517224748055
2,5.800000000000001,-4.215075045563864
2,5.9,-4.286024995403164
2,6,-4.312164450607116
2,6.1000000000000005,-4.2904265463865965
2,6.2,-4.23142366350233
2,6.300000000000001,-4.144472046620252
2,6.4,-4.038887940406301
2,6.5,-3.923987589526414
2,6.6000000000000005,-3.8090872386465255
2,6.7,-3.703503132432575
2,6.800000000000001,-3.6165515155504977
2,6.9,-3.557548632666231
2,7,-3.535810728445712
2,7.1000000000000005,-3.5222183747998614
2,7.2,-3.48532484347541
2,7.300000000000001,-3.430955428892008
2,7.4,-3.364935425469307
2,7.5,-3.2930901276269546
2,7.6000000000000005,-3.221244829784602
2,7.7,-3.1552248263619003
2,7.800000000000001,-3.1008554117784985
2,7.9,-3.063961880454047
2,8,-3.050369526808197
2,8.100000000000001,-3.0485925345447478
2,8.2,-3.043769269829671
2,8.3,-3.036661300775873
2,8.4,-3.028030195496263
2,8.5,-3.018637522103745
2,8.600000000000001,-3.0092448487112273
2,8.7,-3.0006137434316162
2,8.8,-2.993505774377819
2,8.9,-2.988682509662743
2,9,-2.9869055173992933
2,9.1,-2.987901561672957
2,9.200000000000001,-2.990605110415758
2,9.3,-2.9945892875104105
2,9.4,-2.999427216839633
2,9.5,-3.00469202228614
2,9.6,-3.0099568277326467
2,9.700000000000001,-3.014794757061869
2,9.8,-3.0187789341565225
2,9.9,-3.021482482899323
2,10,-3.0224785271729866
2,10.1,-3.0182454886232732
2,10.200000000000001,-3.006755812559765
2,10.3,-2.98982365836091
2,10.4,-2.9692631854051594
2,10.5,-2.946888553070959
2,10.600000000000001,-2.924513920736758
2,10.700000000000001,-2.9039534477810074
2,10.8,-2.887021293582153
2,10.9,-2.8755316175186447
2,11,-2.8712985789689314
2,11.100000000000001,-2.873167118713515
2,11.200000000000001,-2.878238869448815
2,11.3,-2.8857130284271504
2,11.4,-2.8947887929008442
2,11.5,-2.904665360122216
2,11.600000000000001,-2.914541927343589
2,11.700000000000001,-2.9236176918172823
2,11.8,-2.931091850795618
2,11.9,-2.9361636015309176
2,12,-2.9380321412755013
2,12.100000000000001,-2.940115946628077
2,12.200000000000001,-2.9458353272766353
2,12.3,-2.9543922301074237
2,12.4,-2.9649886020066907
2,12.5,-2.9768263898606837
2,12.600000000000001,-2.9891075405556498
2,12.700000000000001,-3.001034000977837
2,12.8,-3.011807718013494
2,12.9,-3.020630638548867
2,13,-3.026704709470204
2,13.100000000000001,-3.031177885432695
2,13.200000000000001,-3.0357188790643677
2,13.3,-3.0403107742107265
2,13.4,-3.044936654717276
2,13.5,-3.049579604429521
2,13.600000000000001,-3.054222707192965
2,13.700000000000001,-3.0588490468531138
2,13.8,-3.0634417072554703
2,13.9,-3.0679837722455408
2,14,-3.072458325668829
2,14.100000000000001,-3.0768484513708394
2,14.200000000000001,-3.0811372331970763
2,14.3,-3.0853077549930457
2,14.4,-3.0893431006042498
2,14.5,-3.093226353876195
2,14.600000000000001,-3.0969405986543856
2,14.700000000000001,-3.100468918784324
2,14.8,-3.103794398111518
2,14.9,-3.1069001204814697
2,15,-3.1097691697396854
2,15.100000000000001,-3.112384629731668
2,15.200000000000001,-3.114729584302923
2,15.3,-3.116787117298955
2,15.4,-3.1185403125652678
2,15.5,-3.119972253947367
2,15.600000000000001,-3.121066025290756
2,15.700000000000001,-3.1218047104409394
2,15.8,-3.122171393243423
2,15.9,-3.1221491575437095
2,16,-3.1217210871873053
2,16.1,-3.1208702660197134
2,16.200000000000003,-3.1195797778864396
2,16.3,-3.117832706632987
2,16.4,-3.115612136104862
2,16.5,-3.112901150147567
2,16.6,-3.1096828326066084
2,16.700000000000003,-3.10594026732749
2,16.8,-3.1016565381557157
