ID,time,frequency,cluster,cluster_orig
87,10,1.160244455771868e-5,7,1
87,17,0,7,1
87,13,3.5461885742513374e-6,7,1
87,3,1.440984480597144e-5,7,1
87,7,4.7210433180143614e-5,7,1
87,2,8.330033714423121e-6,7,1
87,6,4.978387655408937e-5,7,1
87,8,3.083006812501278e-5,7,1
87,1,0,7,1
87,4,3.5452318404362053e-6,7,1
87,15,1.5654273491428973e-6,7,1
87,12,5.157278577769919e-6,7,1
87,5,8.834253344969562e-5,7,1
87,9,1.6232169367753756e-5,7,1
87,14,1.856912971317008e-6,7,1
87,18,0,7,1
87,11,7.267102346754979e-6,7,1
87,16,0,7,1
203,10,3.948698631143591e-4,5,2
203,17,1.8592956987892987e-5,5,2
203,13,9.539247264736098e-5,5,2
203,3,8.00919281076087e-5,5,2
203,7,0.00206097960020902,5,2
203,2,1.288378547830776e-4,5,2
203,6,0.00217271061246775,5,2
203,8,7.789311089544045e-4,5,2
203,1,4.4603033006244426e-4,5,2
203,4,2.2638837609642625e-4,5,2
203,15,3.0682376043200785e-5,5,2
203,12,1.138285057522075e-4,5,2
203,5,0.00350023825713566,5,2
203,9,6.447417672871792e-4,5,2
203,14,6.610610177888548e-5,5,2
203,18,8.303162613134434e-6,5,2
203,11,1.9102097597184517e-4,5,2
203,16,1.93684835091535e-5,5,2
238,10,1.0828948253870769e-5,5,2
238,17,0,5,2
238,13,3.191569716826204e-6,5,2
238,3,1.172894344672094e-5,5,2
238,7,5.209427109533089e-5,5,2
238,2,9.996040457307743e-6,5,2
238,6,3.749954337840498e-5,5,2
238,8,3.712191876277049e-5,5,2
238,1,0,5,2
238,4,2.5323084574544325e-7,5,2
238,15,0,5,2
238,12,3.6837704126927993e-6,5,2
238,5,2.7774357107290667e-5,5,2
238,9,2.6945401150471236e-5,5,2
238,14,0,5,2
238,18,0,5,2
238,11,5.882892375944507e-6,5,2
238,16,0,5,2
239,10,4.640977823087472e-6,7,1
239,17,0,7,1
239,13,3.546188574251338e-7,7,1
239,3,2.8484576942036565e-5,7,1
239,7,6.51178388691636e-5,7,1
239,2,1.1106711619230827e-5,7,1
239,6,7.467581483113406e-5,7,1
239,8,1.5729626594394275e-5,7,1
239,1,0,7,1
239,4,1.0382464675563173e-5,7,1
239,15,3.1308546982857946e-6,7,1
239,12,1.8418852063463996e-6,7,1
239,5,1.080857511524685e-4,7,1
239,9,1.4284309043623306e-5,7,1
239,14,0,7,1
239,18,0,7,1
239,11,0,7,1
239,16,0,7,1
295,10,2.3978385419285273e-5,7,1
295,17,0,7,1
295,13,7.801614863352943e-6,7,1
295,3,4.758599912669638e-5,7,1
295,7,4.883837915187271e-5,7,1
295,2,2.138041986701934e-5,7,1
295,6,8.340415682438349e-5,7,1
295,8,2.8313327869909697e-5,7,1
295,1,0,7,1
295,4,1.6966466664944697e-5,7,1
295,15,2.504683758628636e-6,7,1
295,12,5.157278577769919e-6,7,1
295,5,1.2950212289784927e-4,7,1
295,9,3.571077260905826e-5,7,1
295,14,2.2282955655804097e-6,7,1
295,18,3.075245412272013e-7,7,1
295,11,7.267102346754979e-6,7,1
295,16,5.196422404894841e-6,7,1
625,10,9.281955646174944e-6,7,1
625,17,5.997728060610641e-7,7,1
625,13,3.191569716826204e-6,7,1
625,3,7.372478737938876e-6,7,1
625,7,3.255891943458181e-6,7,1
625,2,2.2213423238461653e-6,7,1
625,6,8.599033222979074e-5,7,1
625,8,3.712191876277049e-5,7,1
625,1,0,7,1
625,4,8.60984875534507e-6,7,1
625,15,2.504683758628636e-6,7,1
625,12,3.6837704126927993e-6,7,1
625,5,1.5158775626027317e-4,7,1
625,9,1.785538630452913e-5,7,1
625,14,1.856912971317008e-6,7,1
625,18,0,7,1
625,11,6.921049854052361e-6,7,1
625,16,0,7,1
815,10,7.850987484056307e-5,5,2
815,17,7.197273672732769e-6,5,2
815,13,1.773094287125669e-5,5,2
815,3,6.367140728219939e-6,5,2
815,7,3.337289242044635e-4,5,2
815,2,1.6660067428846242e-5,5,2
815,6,8.375975594262699e-4,5,2
815,8,2.167542544707531e-4,5,2
815,1,0,5,2
815,4,5.0646169149088646e-6,5,2
815,15,7.200965806057327e-6,5,2
815,12,3.020691738408095e-5,5,2
815,5,8.12818233898904e-4,5,2
815,9,1.0940482153866031e-4,5,2
815,14,9.655947450848442e-6,5,2
815,18,3.075245412272013e-7,5,2
815,11,6.367365865728172e-5,5,2
815,16,1.5589267214684522e-5,5,2
863,10,1.8950659444273845e-5,7,1
863,17,2.3990912242442563e-6,7,1
863,13,1.7730942871256687e-6,7,1
863,3,0,7,1
863,7,1.0256059621893268e-4,7,1
863,2,0,7,1
863,6,3.8146087229756794e-5,7,1
863,8,4.4672139528079745e-5,7,1
863,1,0,7,1
863,4,9.3695412925814e-6,7,1
863,15,0,7,1
863,12,1.2524819403155515e-5,7,1
863,5,4.785220561858513e-5,7,1
863,9,3.0191835024021987e-5,7,1
863,14,2.971060754107213e-6,7,1
863,18,0,7,1
863,11,8.99736481026807e-6,7,1
863,16,0,7,1
988,10,1.6243422380806153e-5,7,1
988,17,2.9988640303053204e-7,7,1
988,13,4.255426289101605e-6,7,1
988,3,2.4798337573067127e-5,7,1
988,7,1.1070032607757814e-4,7,1
988,2,1.1662047200192368e-5,7,1
988,6,1.5129126121632354e-4,7,1
