Time,Enterobacteriaceae,Erysipelotrichaceae,Paenibacillaceae,Ruminococcaceae
1,0.9983,0,0.00155555555555555,0
2,0.9996888888888888,0,2.777777777777778e-4,0
3,0.9996555555555556,0,3.222222222222222e-4,0
4,0.9997555555555556,0,2.111111111111111e-4,0
5,0.9995222222222222,0,3.7777777777777777e-4,1e-4
6,0.9997333333333334,0,2.3333333333333333e-4,3.3333333333333335e-5
7,0.9997444444444444,0,2.555555555555556e-4,1.185185185185185e-4
8,0.9991444444444444,0,8.555555555555556e-4,2.037037037037037e-4
9,0.6973444444444444,0,0.3023666666666667,2.888888888888889e-4
10,0.4593619042297592,0,0.5347600156450801,0.00575515449516678
11,0.5266222222222222,6.888888888888888e-4,0.4604333333333333,0.01225555555555555
12,0.4775692987925855,0.00187064225384048,0.497749560682501,0.02262910265857944
13,0.4537888888888889,0.00198888888888888,0.5068777777777778,0.03665555555555555
14,0.4407743998835595,0.00214384544762416,0.5091833680415603,0.04709341775269828
15,0.4277599108782301,0.00229880200635944,0.5114889583053428,0.05753127994984101
16,0.4147454218729007,0.00245375856509471,0.5137945485691253,0.06796914214698374
17,0.40173093286757133,0.00260871512382999,0.5161001388329078,0.07840700434412647
18,0.4357876886560079,0.00964324645080388,0.48841118052756505,0.06454794661650767
19,0.46984444444444445,0.01667777777777777,0.4607222222222222,0.05068888888888889
