Time,Enterobacteriaceae,Erysipelotrichaceae,Paenibacillaceae,Ruminococcaceae
1,0.9985268530332908,0,8.699686811274794e-4,0
2,0.9987333333333334,0,7.222222222222222e-4,0
3,0.9990555555555556,0,6.555555555555556e-4,0
4,0.9993555555555556,0,2e-4,1.6666666666666666e-4
5,0.9996111111111112,0,3.222222222222222e-4,0
6,0.9996777777777778,0,2.888888888888889e-4,0
7,0.9998444444444444,0,1.5555555555555556e-4,0
8,0.9988,0,0.0012,0
9,0.7977555555555556,0,0.20224444444444445,0
10,0.5968666666666667,2.2222222222222223e-5,0.4031111111111111,0
11,0.5685111111111111,0.00226666666666666,0.4291555555555556,0
12,0.4696222222222222,0.00697777777777777,0.5234,0
13,0.4421888888888889,0.00458888888888888,0.5515777777777777,0.00164444444444444
14,0.42916329582363255,0.00507642853036704,0.5623676194992957,0.00306929665718145
15,0.41613770275837625,0.0055639681718452,0.5731574612208138,0.00449414886991846
16,0.4031121096931199,0.00605150781332336,0.5839473029423319,0.00591900108265547
17,0.39008651662786353,0.00653904745480152,0.5947371446638499,0.00734385329539248
18,0.41444312537309047,0.00779782113505435,0.566057443284351,0.00966613422532419
19,0.43879973411831735,0.00905659481530718,0.5373777419048523,0.01198841515525591
