Time,Bacillaceae,Comamonadaceae,Enterobacteriaceae,Enterococcaceae,Lactobacillaceae
1,0.10721666666666668,4.166666666666667e-4,0.01866666666666666,0.04071666666666666,0.7878166666666667
2,0.0306,5.166666666666667e-4,0.00666666666666666,0.0068,0.9502666666666668
3,0.13311666666666666,0.00833333333333333,0.01633333333333333,0.0639,0.7625666666666666
4,0.15556666666666666,0.0101,0.02706666666666666,0.10651666666666666,0.6609666666666667
5,0.09884017083970063,0.00419262568081188,0.02523412092002664,0.03871321656674895,0.7955801104972375
6,0.16585,0.00573333333333333,0.02505,0.02613333333333333,0.72855
7,0.08968333333333334,0.00305,0.01241666666666666,0.01111666666666666,0.8374166666666667
8,0.07908637386285826,0.00941504450748312,0.02719358309693827,0.017216081385112,0.8297711043724934
9,0.1192838930975659,1.4674321771190638e-4,0.01696718454793917,0.03151310600363189,0.7903039418896858
10,0.10624473589219108,0.00938515220791721,0.01906251611461574,0.02509582824827681,0.8000928201866717
