Time,Enterobacteriaceae,Erysipelotrichaceae,Paenibacillaceae,Ruminococcaceae
1,0.9987111111111112,0,0.00118888888888888,0
2,0.9995,0,4.555555555555555e-4,0
3,0.9996888888888888,0,3.111111111111111e-4,0
4,0.9998111111111112,0,1.8888888888888888e-4,0
5,0.9995,0,3.333333333333333e-4,0
6,0.9997,0,2e-4,0
7,0.9948666666666668,2.555555555555556e-4,0.00152222222222222,0
8,0.8476888888888889,0,0.15231111111111112,0
9,0.6287134495334259,0,0.37105293896250535,0
10,0.5775734541068299,0,0.4224265458931701,0
11,0.4827444444444444,3.666666666666666e-4,0.5164777777777778,4.111111111111111e-4
12,0.4419777777777778,0.00122222222222222,0.5469444444444445,0.00975555555555555
13,0.3946750788643533,0.01928075709779179,0.5450599369085174,0.04039116719242902
14,0.39235075359270943,0.01580223449001051,0.5420727304591658,0.04909615317209954
15,0.39002642832106554,0.01232371188222923,0.5390855240098142,0.05780113915177007
16,0.38770210304942165,0.00884518927444794,0.5360983175604627,0.0665061251314406
17,0.38537777777777776,0.00536666666666666,0.5331111111111111,0.07521111111111112
18,0.39882332037543305,0.01207877230623709,0.5205611616738377,0.06662240851607049
19,0.41226886297308835,0.01879087794580752,0.5080112122365643,0.05803370592102986
