series1,series2,dist,pair_id
C2,C1,0.18695521452023003,C2_C1
C3,C1,0.5390787219885471,C3_C1
C4,C1,0.5390787219885471,C4_C1
C5,C1,0.5390787219885471,C5_C1
C6,C1,0.5390787219885471,C6_C1
C7,C1,0.5390787219885471,C7_C1
Enterobacteriaceae,C1,0.5390787219885471,Enterobacteriaceae_C1
Lactobacillaceae,C1,0.18695521452023003,Lactobacillaceae_C1
Paenibacillaceae,C1,0.18695521452023003,Paenibacillaceae_C1
C3,C2,0.5390787219885471,C3_C2
C4,C2,0.5390787219885471,C4_C2
C5,C2,0.5390787219885471,C5_C2
C6,C2,0.5390787219885471,C6_C2
C7,C2,0.5390787219885471,C7_C2
Enterobacteriaceae,C2,0.5390787219885471,Enterobacteriaceae_C2
Lactobacillaceae,C2,0.13534601986158917,Lactobacillaceae_C2
Paenibacillaceae,C2,0.03280681200657598,Paenibacillaceae_C2
C4,C3,0.2648460474825326,C4_C3
C5,C3,0.2648460474825326,C5_C3
C6,C3,0.2648460474825326,C6_C3
C7,C3,0.2648460474825326,C7_C3
Enterobacteriaceae,C3,0.2648460474825326,Enterobacteriaceae_C3
Lactobacillaceae,C3,0.5390787219885471,Lactobacillaceae_C3
Paenibacillaceae,C3,0.5390787219885471,Paenibacillaceae_C3
C5,C4,0.1656458942299603,C5_C4
C6,C4,0.1656458942299603,C6_C4
C7,C4,0.1014901292164454,C7_C4
Enterobacteriaceae,C4,0.1656458942299603,Enterobacteriaceae_C4
Lactobacillaceae,C4,0.5390787219885471,Lactobacillaceae_C4
Paenibacillaceae,C4,0.5390787219885471,Paenibacillaceae_C4
C6,C5,0.1248694538144346,C6_C5
C7,C5,0.1656458942299603,C7_C5
Enterobacteriaceae,C5,0.04870722832401897,Enterobacteriaceae_C5
Lactobacillaceae,C5,0.5390787219885471,Lactobacillaceae_C5
Paenibacillaceae,C5,0.5390787219885471,Paenibacillaceae_C5
C7,C6,0.1656458942299603,C7_C6
Enterobacteriaceae,C6,0.1248694538144346,Enterobacteriaceae_C6
Lactobacillaceae,C6,0.5390787219885471,Lactobacillaceae_C6
Paenibacillaceae,C6,0.5390787219885471,Paenibacillaceae_C6
Enterobacteriaceae,C7,0.1656458942299603,Enterobacteriaceae_C7
Lactobacillaceae,C7,0.5390787219885471,Lactobacillaceae_C7
Paenibacillaceae,C7,0.5390787219885471,Paenibacillaceae_C7
Lactobacillaceae,Enterobacteriaceae,0.5390787219885471,Lactobacillaceae_Enterobacteriaceae
Paenibacillaceae,Enterobacteriaceae,0.5390787219885471,Paenibacillaceae_Enterobacteriaceae
Paenibacillaceae,Lactobacillaceae,0.13534601986158917,Paenibacillaceae_Lactobacillaceae
