series,sbd_cluster
C1,1
C2,2
C3,1
C4,2
C5,3
C6,4
C7,3
C8,5
C9,6
C10,7
C11,3
C12,3
C13,7
C14,8
Enterobacteriaceae,4
Paenibacillaceae,9
Ruminococcaceae,9
