Time,m5,m6,m7,m8
3,0,0,0,60
6,2462571429,421980952.4,248326881.7,656689655.2
12,264952381,173438961,195270968,316140171
24,286111111,716571429,98900000,30724031
48,4297714286,6786666667,3879777778,2560745763
72,15193333333,6593086420,10358028169,6707814570
96,14477254902,16165714286,5659586563,6547341772
120,10300000000,8034492754,9119365079,9748965517
144,7706938776,5007803922,8868817204,6900000000
168,5741204819,6524232804,8474294294,5316969697
192,6537142857,6606181015,5785454545,3177142857
216,5275164835,8861269841,6828224299,4567966457
240,3276000000,2890649351,3209122807,5040000000
264,4356857143,4450526316,3640888889,2554588235
288,2881106383,4001445783,3336312057,1980000000
312,2717333333,6089156627,5763157895,3260952381
336,2693816425,6378518519,4110000000,3624705882
360,4450769231,26493793103,7235238095,3424444444
