time,window,effector_j,target_i,strength
3,2,Sphingomonadaceae,Weeksellaceae,-0.5130571389265215
3,2,Weeksellaceae,Weeksellaceae,-2.978202898669465
4,3,Bacillaceae,Bacillaceae,-0.007809435746409448
4,3,Comamonadaceae,Bacillaceae,-0.10688497826532975
4,3,Enterobacteriaceae,Bacillaceae,0.035759859736193896
4,3,Enterococcaceae,Bacillaceae,-0.04846194219070851
4,3,Lactobacillaceae,Bacillaceae,0.0028823815705988406
4,3,Sphingomonadaceae,Bacillaceae,-0.0698324534920723
4,3,Weeksellaceae,Bacillaceae,-0.1134456105920998
4,3,Bacillaceae,Comamonadaceae,0.05847225243843299
4,3,Comamonadaceae,Comamonadaceae,-0.041953075689202965
4,3,Enterobacteriaceae,Comamonadaceae,0.1712908250745139
4,3,Enterococcaceae,Comamonadaceae,0.08077805198789567
4,3,Lactobacillaceae,Comamonadaceae,-0.005972812411556805
4,3,Sphingomonadaceae,Comamonadaceae,-0.007147511114615637
4,3,Weeksellaceae,Comamonadaceae,-0.7747158838762092
4,3,Bacillaceae,Enterobacteriaceae,-0.03010943542073553
4,3,Comamonadaceae,Enterobacteriaceae,0.06520434933157739
4,3,Enterobacteriaceae,Enterobacteriaceae,-0.1224373088401476
4,3,Enterococcaceae,Enterobacteriaceae,-0.02631119316620562
4,3,Lactobacillaceae,Enterobacteriaceae,0.0023520722037264673
4,3,Sphingomonadaceae,Enterobacteriaceae,0.028839691957016297
4,3,Weeksellaceae,Enterobacteriaceae,0.5411019971142818
4,3,Bacillaceae,Enterococcaceae,0.005519955426547773
4,3,Comamonadaceae,Enterococcaceae,-0.2055681496694536
4,3,Enterobacteriaceae,Enterococcaceae,0.12263414069652927
4,3,Enterococcaceae,Enterococcaceae,-0.0599759463111552
4,3,Lactobacillaceae,Enterococcaceae,0.0031623355216797433
4,3,Sphingomonadaceae,Enterococcaceae,-0.1272718464093623
4,3,Weeksellaceae,Enterococcaceae,-0.4688257995950644
4,3,Bacillaceae,Lactobacillaceae,-3.458337901484789e-4
4,3,Comamonadaceae,Lactobacillaceae,0.010836171935025313
4,3,Enterobacteriaceae,Lactobacillaceae,-0.006396204615295132
4,3,Enterococcaceae,Lactobacillaceae,0.003060208986790051
4,3,Lactobacillaceae,Lactobacillaceae,-1.6189456317803542e-4
4,3,Sphingomonadaceae,Lactobacillaceae,0.006732128892082563
4,3,Weeksellaceae,Lactobacillaceae,0.02431183354468485
4,3,Bacillaceae,Sphingomonadaceae,0.03899070875668706
4,3,Comamonadaceae,Sphingomonadaceae,-0.0011447408732148281
4,3,Enterobacteriaceae,Sphingomonadaceae,0.09531402351711342
4,3,Enterococcaceae,Sphingomonadaceae,0.06314218376597927
4,3,Lactobacillaceae,Sphingomonadaceae,-0.004443912203944737
4,3,Sphingomonadaceae,Sphingomonadaceae,0.011143493209787251
4,3,Weeksellaceae,Sphingomonadaceae,-0.4400139762642966
4,3,Bacillaceae,Weeksellaceae,0.10432246306241118
4,3,Comamonadaceae,Weeksellaceae,-0.4152520050256692
4,3,Enterobacteriaceae,Weeksellaceae,0.5356420670040118
4,3,Enterococcaceae,Weeksellaceae,0.026998390844131706
4,3,Lactobacillaceae,Weeksellaceae,-0.004734098001352716
4,3,Sphingomonadaceae,Weeksellaceae,-0.21654694072765374
4,3,Weeksellaceae,Weeksellaceae,-2.3041730637855324
5,4,Bacillaceae,Bacillaceae,-0.022853540803815988
5,4,Comamonadaceae,Bacillaceae,-0.04823844332959611
5,4,Enterobacteriaceae,Bacillaceae,0.019121020998967602
5,4,Enterococcaceae,Bacillaceae,-0.053155785699013275
5,4,Lactobacillaceae,Bacillaceae,0.0033850782905174644
5,4,Sphingomonadaceae,Bacillaceae,-0.03964993734490299
5,4,Weeksellaceae,Bacillaceae,-0.11159624568788346
5,4,Bacillaceae,Comamonadaceae,0.11945194350975998
5,4,Comamonadaceae,Comamonadaceae,-0.17742936805708456
5,4,Enterobacteriaceae,Comamonadaceae,0.16141508383335687
5,4,Enterococcaceae,Comamonadaceae,0.1353505412641457
5,4,Lactobacillaceae,Comamonadaceae,-0.009737690035584563
5,4,Sphingomonadaceae,Comamonadaceae,-0.0694523782361488
5,4,Weeksellaceae,Comamonadaceae,-0.46280237493684623
5,4,Bacillaceae,Enterobacteriaceae,-0.024605209305309045
5,4,Comamonadaceae,Enterobacteriaceae,0.05672138971834029
5,4,Enterobacteriaceae,Enterobacteriaceae,-0.0924639562763861
5,4,Enterococcaceae,Enterobacteriaceae,-0.021185274257587407
5,4,Lactobacillaceae,Enterobacteriaceae,0.001768584760080988
5,4,Sphingomonadaceae,Enterobacteriaceae,0.02865803432605496
5,4,Weeksellaceae,Enterobacteriaceae,0.40366361963207004
5,4,Bacillaceae,Enterococcaceae,-0.00887514967905335
5,4,Comamonadaceae,Enterococcaceae,-0.1304908736114265
5,4,Enterobacteriaceae,Enterococcaceae,0.08565481834900573
5,4,Enterococcaceae,Enterococcaceae,-0.05783895396226965
5,4,Lactobacillaceae,Enterococcaceae,0.0033452310653549846
5,4,Sphingomonadaceae,Enterococcaceae,-0.08720032181053194
5,4,Weeksellaceae,Enterococcaceae,-0.37100312017786274
5,4,Bacillaceae,Lactobacillaceae,-7.384798294430678e-4
5,4,Comamonadaceae,Lactobacillaceae,0.009151787443668586
5,4,Enterobacteriaceae,Lactobacillaceae,-0.004989905023451078
5,4,Enterococcaceae,Lactobacillaceae,0.001822879960821593
5,4,Lactobacillaceae,Lactobacillaceae,-9.252430906060898e-5
5,4,Sphingomonadaceae,Lactobacillaceae,0.005637875914111811
5,4,Weeksellaceae,Lactobacillaceae,0.017555086051050325
5,4,Bacillaceae,Sphingomonadaceae,0.11012343757734458
5,4,Comamonadaceae,Sphingomonadaceae,-0.1577526868833412
5,4,Enterobacteriaceae,Sphingomonadaceae,0.10731056431287833
5,4,Enterococcaceae,Sphingomonadaceae,0.12724047144433837
5,4,Lactobacillaceae,Sphingomonadaceae,-0.008935238294811285
5,4,Sphingomonadaceae,Sphingomonadaceae,-0.061201610543200675
5,4,Weeksellaceae,Sphingomonadaceae,-0.2070910867277966
5,4,Bacillaceae,Weeksellaceae,0.06626287588825783
5,4,Comamonadaceae,Weeksellaceae,-0.30356789735160333
5,4,Enterobacteriaceae,Weeksellaceae,0.395013659355156
5,4,Enterococcaceae,Weeksellaceae,0.006467268374964254
5,4,Lactobacillaceae,Weeksellaceae,-0.0021691132617829975
5,4,Sphingomonadaceae,Weeksellaceae,-0.1737565249851013
5,4,Weeksellaceae,Weeksellaceae,-1.7494497898858676
6.9,5,Bacillaceae,Bacillaceae,-0.011414523083486464
6.9,5,Comamonadaceae,Bacillaceae,-0.037330934453876
6.9,5,Enterobacteriaceae,Bacillaceae,0.027322167475436792
6.9,5,Enterococcaceae,Bacillaceae,-0.030266641820713074
6.9,5,Lactobacillaceae,Bacillaceae,0.002124069700725521
6.9,5,Sphingomonadaceae,Bacillaceae,-0.03214810859722295
6.9,5,Weeksellaceae,Bacillaceae,-0.07038027866129412
6.9,5,Bacillaceae,Comamonadaceae,0.06746539623076685
6.9,5,Comamonadaceae,Comamonadaceae,-0.14242311397495147
6.9,5,Enterobacteriaceae,Comamonadaceae,0.05985286727655442
6.9,5,Enterococcaceae,Comamonadaceae,0.06674712182324101
6.9,5,Lactobacillaceae,Comamonadaceae,-0.004820600019786969
6.9,5,Sphingomonadaceae,Comamonadaceae,-0.0741852803103272
6.9,5,Weeksellaceae,Comamonadaceae,-0.393261526709941
6.9,5,Bacillaceae,Enterobacteriaceae,-0.012123230595775178
6.9,5,Comamonadaceae,Enterobacteriaceae,0.0741385626162838
6.9,5,Enterobacteriaceae,Enterobacteriaceae,-0.045865567887180145
6.9,5,Enterococcaceae,Enterobacteriaceae,-0.001431467752348827
6.9,5,Lactobacillaceae,Enterobacteriaceae,-3.167846224573118e-4
6.9,5,Sphingomonadaceae,Enterobacteriaceae,0.06241257326549551
6.9,5,Weeksellaceae,Enterobacteriaceae,0.34621969015221743
6.9,5,Bacillaceae,Enterococcaceae,-0.004024229225934781
6.9,5,Comamonadaceae,Enterococcaceae,-0.09477261637637455
6.9,5,Enterobacteriaceae,Enterococcaceae,0.0639921407277296
6.9,5,Enterococcaceae,Enterococcaceae,-0.03701759230064063
6.9,5,Lactobacillaceae,Enterococcaceae,0.0023119207331174247
6.9,5,Sphingomonadaceae,Enterococcaceae,-0.06633692289232586
6.9,5,Weeksellaceae,Enterococcaceae,-0.25558897502966943
6.9,5,Bacillaceae,Lactobacillaceae,-6.878618732233131e-4
6.9,5,Comamonadaceae,Lactobacillaceae,0.008040698558937263
6.9,5,Enterobacteriaceae,Lactobacillaceae,-0.004051220407201056
6.9,5,Enterococcaceae,Lactobacillaceae,0.0012266697196499836
6.9,5,Lactobacillaceae,Lactobacillaceae,-1.0801315823384127e-4
6.9,5,Sphingomonadaceae,Lactobacillaceae,0.006017758628114535
6.9,5,Weeksellaceae,Lactobacillaceae,0.014346127393878149
6.9,5,Bacillaceae,Sphingomonadaceae,0.07157650540042523
6.9,5,Comamonadaceae,Sphingomonadaceae,-0.16605999749890038
6.9,5,Enterobacteriaceae,Sphingomonadaceae,0.06320932011725892
6.9,5,Enterococcaceae,Sphingomonadaceae,0.07199745424420347
6.9,5,Lactobacillaceae,Sphingomonadaceae,-0.003877585594412424
6.9,5,Sphingomonadaceae,Sphingomonadaceae,-0.11283711927640451
6.9,5,Weeksellaceae,Sphingomonadaceae,-0.2476611131475527
6.9,5,Bacillaceae,Weeksellaceae,0.010574622986244248
6.9,5,Comamonadaceae,Weeksellaceae,-0.22380644539050412
6.9,5,Enterobacteriaceae,Weeksellaceae,0.13247350122369256
6.9,5,Enterococcaceae,Weeksellaceae,-0.05358777741993468
6.9,5,Lactobacillaceae,Weeksellaceae,0.0016974507355743344
6.9,5,Sphingomonadaceae,Weeksellaceae,-0.13708656774177705
6.9,5,Weeksellaceae,Weeksellaceae,-1.3280800251097584
