time,window,effector_j,target_i,strength
2,1,Bacillaceae,Bacillaceae,-0.007420264924650037
2,1,Enterobacteriaceae,Bacillaceae,-0.01343588514279643
2,1,Enterococcaceae,Bacillaceae,-0.0019439556843742628
2,1,Lactobacillaceae,Bacillaceae,0.002221686681210425
2,1,Bacillaceae,Enterobacteriaceae,-0.013726547045553492
2,1,Enterobacteriaceae,Enterobacteriaceae,-0.02485467990483461
2,1,Enterococcaceae,Enterobacteriaceae,-0.003596070952587039
2,1,Lactobacillaceae,Enterobacteriaceae,0.004109837999018989
2,1,Bacillaceae,Enterococcaceae,-0.0024249571509718593
2,1,Enterobacteriaceae,Enterococcaceae,-0.0043908736530990375
2,1,Enterococcaceae,Enterococcaceae,-6.352885356337987e-4
2,1,Lactobacillaceae,Enterococcaceae,7.260515708708674e-4
2,1,Bacillaceae,Lactobacillaceae,0.0022383191661975157
2,1,Enterobacteriaceae,Lactobacillaceae,0.004052927966230002
2,1,Enterococcaceae,Lactobacillaceae,5.863932502084804e-4
2,1,Lactobacillaceae,Lactobacillaceae,-6.701706651091812e-4
3,2,Bacillaceae,Bacillaceae,-0.013282738520387872
3,2,Enterobacteriaceae,Bacillaceae,-0.018669674949872928
3,2,Enterococcaceae,Bacillaceae,0.005425600670231989
3,2,Lactobacillaceae,Bacillaceae,0.003669019444669948
3,2,Bacillaceae,Enterobacteriaceae,-0.02822392720771727
3,2,Enterobacteriaceae,Enterobacteriaceae,-0.040029450457754724
3,2,Enterococcaceae,Enterobacteriaceae,0.010934453935396025
3,2,Lactobacillaceae,Enterobacteriaceae,0.007816689545668503
3,2,Bacillaceae,Enterococcaceae,-0.01040272921817946
3,2,Enterobacteriaceae,Enterococcaceae,-0.015026151631963908
3,2,Enterococcaceae,Enterococcaceae,0.0035798165949570025
3,2,Lactobacillaceae,Enterococcaceae,0.002896636588241248
3,2,Bacillaceae,Lactobacillaceae,0.004215100356544315
3,2,Enterobacteriaceae,Lactobacillaceae,0.0059520608436483555
3,2,Enterococcaceae,Lactobacillaceae,-0.001676253910870154
3,2,Lactobacillaceae,Lactobacillaceae,-0.0011658874414211542
4,3,Bacillaceae,Bacillaceae,-0.008483267768232
