time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
2,1,C1,-0.199655713816008,-0.08671509883118216,-0.2927923920604258,-0.2167877438521578,-0.22707352466204359,-0.3144916893757886,-0.32504000490640256,-0.4019916551206288,-0.42851839706826,-0.00852759836562367,0.16820576263833,3.6449615649900065e-16
2,1,C2,-0.10158782994324439,-0.0441122045600569,-0.14896934441500975,-0.11031776529033073,-0.11553517661208672,-0.16003547746547683,-0.16538283363024842,-0.20454154443689007,-0.21803946464400684,-0.004341323302699218,0.08563203444639123,1.8501068640560091e-16
2,1,C3,-0.3042271100162817,-0.13213027827601956,-0.44614283565543267,-0.33033562966636787,-0.34600436850790994,-0.4792140503398768,-0.4952818585143972,-0.6125388118057771,-0.6529593535842104,-0.012994629031509329,0.25631735838527064,5.552839847175868e-16
2,1,C4,-0.1984332160977124,-0.0861834617716178,-0.2909990709538894,-0.21546124406386566,-0.22568292085645342,-0.3125672569599688,-0.32304960786037107,-0.39953039782201805,-0.4258947655182398,-0.008475547393691128,0.16717906402348043,3.622329871001476e-16
2,1,C5,-0.23241230764388163,-0.1009349460284506,-0.34082378677743236,-0.2523645130524577,-0.26432606547388526,-0.36610155668405714,-0.3783660662195676,-0.4679461382638148,-0.4988255216983935,-0.009928397033632002,0.19583633318735308,4.2396908343197855e-16
2,1,C6,-0.2934531434140926,-0.12741528177445985,-0.43031434262452983,-0.31868433341679137,-0.3337389889634419,-0.46230674301512126,-0.4777330058817112,-0.5908540858355569,-0.6298457859458598,-0.012543058432613859,0.24741018737233272,5.339681078590887e-16
2,1,C7,-0.32902639829046126,-0.14289825291463337,-0.4825083002783808,-0.35726677247077343,-0.37420825325246576,-0.518282371869723,-0.5356544375355765,-0.6624709451816475,-0.7061865955544065,-0.014054552040282352,0.27722420113097035,6.004226532836846e-16
2,1,C8,-0.39938513601680586,-0.17345759629862395,-0.5856891683550542,-0.4336616318111044,-0.4542293412795727,-0.6291077128292825,-0.650198865964302,-0.8041327323127596,-0.8571963479467294,-0.017059459518228338,0.3364956081924308,7.289135085397208e-16
2,1,C9,-0.42490762699466705,-0.18454243639041767,-0.6231174191622878,-0.461374376485697,-0.4832566636119614,-0.6693102755325413,-0.6917495038485785,-0.855520371594123,-0.9119749796011783,-0.018149604547431943,0.357998576339098,7.755001703273979e-16
2,1,Enterobacteriaceae,-0.005647208414831439,-0.0023855190838042322,-0.008227560009028613,-0.00622076604417584,-0.006400311989414362,-0.009015163891683884,-0.009177051087469626,-0.011385017905134093,-0.01214025104356819,-2.824069243202146e-4,0.005570439652870862,1.489346387653434e-17
