time,window,target_i,Bacillaceae,Comamonadaceae,Enterobacteriaceae,Enterococcaceae,Lactobacillaceae,Sphingomonadaceae,Weeksellaceae
2,1,Bacillaceae,-0.0030021998585336974,-0.02049538283846129,0.017542979095841474,-0.012594099918909777,6.197036529521781e-4,-0.01100836981614335,-0.07727248441003148
2,1,Comamonadaceae,-0.016374048964777854,-0.11178216573254368,0.09567970562881782,-0.06868843463347958,0.0033798742373023047,-0.06003983574895989,-0.42144544100333664
2,1,Enterobacteriaceae,0.014038815133348587,0.09584001875774313,-0.08203405902996878,0.05889222865357427,-0.0028978433919138067,0.05147707549485132,0.3613397424037007
2,1,Enterococcaceae,-0.011133478819991483,-0.07600590283522075,0.06505708993621023,-0.046704467161130754,0.002298133975059271,-0.04082388180863005,-0.2865603920744277
2,1,Lactobacillaceae,5.532823687833654e-4,0.003777141596270753,-0.0032330362690793156,0.002320995857761473,-1.1420662221220248e-4,0.0020287579825860984,0.014240725211758256
2,1,Sphingomonadaceae,-0.008683368199699733,-0.05927951634342164,0.05074017520047034,-0.036426357968424604,0.0017923906624627219,-0.03183989504240417,-0.2234979233413116
2,1,Weeksellaceae,-0.06247908073166546,-0.4265314567085611,0.3650886879124462,-0.26209706970026275,0.012896714538324448,-0.22909628235169333,-1.6081253811492473
3,2,Bacillaceae,0.011960251664458778,-0.10559294703224037,0.08931516484679863,-0.016187119786326674,5.489003364077978e-4,-0.061775481379057695,-0.3642629083798641
3,2,Comamonadaceae,0.03162547860051186,-0.20913738585706965,0.17658887476923724,-0.017967979931019694,3.2208101000345894e-4,-0.12381676440346404,-0.7116642772144586
3,2,Enterobacteriaceae,-0.025493554073889913,0.17986193500168637,-0.1519359456496751,0.018479906798382746,-4.4133861851407475e-4,0.10617012523254746,0.6141481549486819
3,2,Enterococcaceae,0.0323334716580814,-0.2614782807302172,0.22106417878846085,-0.035260803295138435,0.0010973850784930545,-0.1534748726259812,-0.8986666280447714
3,2,Lactobacillaceae,-0.0016762421127175465,0.013564125000815665,-0.011467693674242444,0.001831008852379836,-5.7027732106420424e-5,0.007961279761567606,0.046619417125291863
3,2,Sphingomonadaceae,0.016003243644139083,-0.0989110163929217,0.08347658782824852,-0.006640639124875679,5.149555855695956e-5,-0.05875181606565849,-0.3352889835140512
3,2,Weeksellaceae,0.11888033823302092,-0.8705769163264461,0.7355837383468251,-0.0974635711875303,0.002571390494396292,-0.5130571389265215,-2.978202898669465
4,3,Bacillaceae,-0.007809435746409448,-0.10688497826532975,0.035759859736193896,-0.04846194219070851,0.0028823815705988406,-0.0698324534920723,-0.1134456105920998
4,3,Comamonadaceae,0.05847225243843299,-0.041953075689202965,0.1712908250745139,0.08077805198789567,-0.005972812411556805,-0.007147511114615637,-0.7747158838762092
4,3,Enterobacteriaceae,-0.03010943542073553,0.06520434933157739,-0.1224373088401476,-0.02631119316620562,0.0023520722037264673,0.028839691957016297,0.5411019971142818
