time,window,effector_j,target_i,strength
2,1,C5,Paenibacillaceae,3.981163571988956e-16
2,1,C6,Paenibacillaceae,5.657494897016001e-16
2,1,C7,Paenibacillaceae,5.713470337187152e-16
2,1,C8,Paenibacillaceae,7.099763728299003e-16
2,1,C9,Paenibacillaceae,7.572031436672775e-16
2,1,Enterobacteriaceae,Paenibacillaceae,1.7550104720044394e-17
2,1,Lactobacillaceae,Paenibacillaceae,-3.4617352063833123e-16
2,1,Paenibacillaceae,Paenibacillaceae,-2.3665827156630347e-30
3,2,C1,C1,-0.36896304874617103
3,2,C2,C1,-0.12514987634684763
3,2,C3,C1,-0.5193303157244348
3,2,C4,C1,-0.43034113340050356
3,2,C5,C1,-0.40317415255699807
3,2,C6,C1,-0.5751625769026285
3,2,C7,C1,-0.5881405847974562
3,2,C8,C1,-0.7422617407651843
3,2,C9,C1,-0.7927682444249503
3,2,Enterobacteriaceae,C1,-0.014324765164882455
3,2,Lactobacillaceae,C1,0.2733954790024591
3,2,Paenibacillaceae,C1,4.689197439433707e-16
3,2,C1,C2,-0.18425942972404527
3,2,C2,C2,-0.06529519691534208
3,2,C3,C2,-0.26124762593802153
3,2,C4,C2,-0.21212176128210003
3,2,C5,C2,-0.20253521781685527
3,2,C6,C2,-0.28598358489787484
3,2,C7,C2,-0.29461729095445094
3,2,C8,C2,-0.37052280350115396
3,2,C9,C2,-0.3955998519087549
3,2,Enterobacteriaceae,C2,-0.007100150860491881
3,2,Lactobacillaceae,C2,0.13652164595762475
3,2,Paenibacillaceae,C2,2.327730639788224e-16
3,2,C1,C3,-0.5605596527239148
3,2,C2,C3,-0.19102690502425915
3,2,C3,C3,-0.7896270021576683
3,2,C4,C3,-0.6528863204443647
3,2,C5,C3,-0.6129040325986913
3,2,C6,C3,-0.8732850660856775
3,2,C7,C3,-0.8938304517488945
3,2,C8,C3,-1.1276365836213262
3,2,C9,C3,-1.2043215344320446
3,2,Enterobacteriaceae,C3,-0.021745022754083503
3,2,Lactobacillaceae,C3,0.4153421432858135
3,2,Paenibacillaceae,C3,7.120336214308153e-16
3,2,C1,C4,-0.36666686804867704
3,2,C2,C4,-0.12452516718507196
3,2,C3,C4,-0.5161987829476911
3,2,C4,C4,-0.4275196864696689
3,2,C5,C4,-0.40073371036256394
3,2,C6,C4,-0.5715572486656784
3,2,C7,C4,-0.5845324879412926
3,2,C8,C4,-0.7376387465711041
3,2,C9,C4,-0.7878235774300306
3,2,Enterobacteriaceae,C4,-0.014233035348678251
3,2,Lactobacillaceae,C4,0.27169894660179333
3,2,Paenibacillaceae,C4,4.659076910226798e-16
3,2,C1,C5,-0.42685290920075325
3,2,C2,C5,-0.14684526522259014
3,2,C3,C5,-0.6022109466724067
3,2,C4,C5,-0.49580015402818584
3,2,C5,C5,-0.4673073494475559
3,2,C6,C5,-0.6644593501016458
3,2,C7,C5,-0.6810816042379738
3,2,C8,C5,-0.8586000464135167
3,2,C9,C5,-0.9169231729206297
3,2,Enterobacteriaceae,C5,-0.016532605266886654
3,2,Lactobacillaceae,C5,0.31627938519743143
3,2,Paenibacillaceae,C5,5.414669053566852e-16
3,2,C1,C6,-0.5254677648133544
3,2,C2,C6,-0.18983323987506684
3,2,C3,C6,-0.7475424602743831
3,2,C4,C6,-0.6011423467004146
3,2,C5,C6,-0.5790839727333957
3,2,C6,C6,-0.8132655486999332
3,2,C7,C6,-0.8413150298769871
3,2,C8,C6,-1.0563592042342922
3,2,C9,C6,-1.1276736791660058
3,2,Enterobacteriaceae,C6,-0.020172711025874063
3,2,Lactobacillaceae,C6,0.3892284710490502
3,2,Paenibacillaceae,C6,6.622525756228856e-16
3,2,C1,C7,-0.6056805225760128
3,2,C2,C7,-0.2071060190017623
3,2,C3,C7,-0.8536547217065675
3,2,C4,C7,-0.7047577131528495
3,2,C5,C7,-0.6625434004695753
3,2,C6,C7,-0.9433465449889709
3,2,C7,C7,-0.9660083417093309
3,2,C8,C7,-1.2183724855918676
3,2,C9,C7,-1.3011946675665933
3,2,Enterobacteriaceae,C7,-0.02348257792342432
3,2,Lactobacillaceae,C7,0.44878187228511635
3,2,Paenibacillaceae,C7,7.689622935228037e-16
3,2,C1,C8,-0.7356643273665439
3,2,C2,C8,-0.25100526443268995
3,2,C3,C8,-1.0364902972090553
3,2,C4,C8,-0.8565359557241472
3,2,C5,C8,-0.8044931657135748
3,2,C6,C8,-1.1459817925042848
3,2,C7,C8,-1.1731415916754682
3,2,C8,C8,-1.479869160972788
3,2,C9,C8,-1.580493236879978
3,2,Enterobacteriaceae,C8,-0.02853210486763084
3,2,Lactobacillaceae,C8,0.5450886262856635
3,2,Paenibacillaceae,C8,9.342851795296227e-16
3,2,C1,C9,-0.7825529716541945
3,2,C2,C9,-0.26700074530741563
3,2,C3,C9,-1.1025540312698405
3,2,C4,C9,-0.9111225567081755
3,2,C5,C9,-0.8557651024574996
3,2,C6,C9,-1.2189883179061065
3,2,C7,C9,-1.2479106246486755
3,2,C8,C9,-1.5741866289396682
3,2,C9,C9,-1.681223704511395
3,2,Enterobacteriaceae,C9,-0.03035038429260775
3,2,Lactobacillaceae,C9,0.5798260997011357
3,2,Paenibacillaceae,C9,9.938480600054133e-16
3,2,C1,Enterobacteriaceae,-0.012974644151511271
3,2,C2,Enterobacteriaceae,-0.004482531799627202
3,2,C3,Enterobacteriaceae,-0.018303434465092878
3,2,C4,Enterobacteriaceae,-0.015088505048631977
3,2,C5,Enterobacteriaceae,-0.014222927298477187
3,2,C6,Enterobacteriaceae,-0.02034035851821398
3,2,C7,Enterobacteriaceae,-0.020716849097746858
3,2,C8,Enterobacteriaceae,-0.02611542995118071
3,2,C9,Enterobacteriaceae,-0.027889646042713625
3,2,Enterobacteriaceae,Enterobacteriaceae,-5.224234592015993e-4
3,2,Lactobacillaceae,Enterobacteriaceae,0.010023766189059972
3,2,Paenibacillaceae,Enterobacteriaceae,1.8239855210015366e-17
3,2,C1,Lactobacillaceae,0.26515598512646804
3,2,C2,Lactobacillaceae,0.0915419214313851
3,2,C3,Lactobacillaceae,0.37404758682288536
3,2,C4,Lactobacillaceae,0.3083323161189957
3,2,C5,Lactobacillaceae,0.2906135674124067
3,2,C6,Lactobacillaceae,0.4153516168304367
3,2,C7,Lactobacillaceae,0.4233379745847651
