time,window,target_i,Bacillaceae,Comamonadaceae,Enterobacteriaceae,Enterococcaceae,Lactobacillaceae
2,1,Bacillaceae,-0.03049566596181867,0.005220674505135283,-0.025040101791252958,-0.04352654204179934,0.004559824077671819
2,1,Comamonadaceae,-1.8900587929825466e-4,3.235666919386411e-5,-1.5519341216220902e-4,-2.697685750402334e-4,2.826085386443952e-5
2,1,Enterobacteriaceae,-0.02448460635398476,0.004191617271797347,-0.020104398972304788,-0.03494694128595013,0.003661028348257718
2,1,Enterococcaceae,-0.04377974506167172,0.007494828910145933,-0.03594770726148086,-0.062486942124561094,0.006546108417389007
2,1,Lactobacillaceae,0.004560221488929256,-7.806824777930911e-4,0.003744414383880464,0.00650881579717955,-6.818610805473282e-4
3,2,Bacillaceae,-0.024078053734291404,0.1566968043689397,-0.03543778697800049,-0.02722532218847881,0.0035890305071358407
3,2,Comamonadaceae,-0.02134381032463422,0.1227643113698343,-0.029756382289061516,-0.024889049265644343,0.0031826547765130384
3,2,Enterobacteriaceae,-0.016722839056856172,0.11448667329299474,-0.02519332574858265,-0.01864393744283588,0.0024922601504200836
3,2,Enterococcaceae,-0.03525721200996572,0.23147931659314244,-0.0520995899964818,-0.03977070407467646,0.0052552261948460395
3,2,Lactobacillaceae,0.003472504818633283,-0.023795173748405077,0.005233660674935397,0.0038703935986351776,-5.175172927623774e-4
4,3,Bacillaceae,-0.015264177533594641,0.10415305543388174,-0.023160769616703488,-0.01717369308647554,0.0023349799139088506
4,3,Comamonadaceae,-0.06502815255200388,-0.05084311031770411,-0.057767529497880776,-0.10319310130337137,0.01294320910202438
4,3,Enterobacteriaceae,0.009683696699384257,0.12860984211060597,-0.0019976897926380637,0.022305920963044682,-0.002484001279610568
4,3,Enterococcaceae,-0.014600995041196219,0.17407521411672447,-0.028804386030603788,-0.012250202103934307,0.001930149527927275
4,3,Lactobacillaceae,-0.0021763584602632977,-0.027194993858241402,3.8338369431464777e-4,-0.004856559273854886,5.252151108918522e-4
5,4,Bacillaceae,-0.02196691740214445,0.05020999731999146,-0.031667849925243595,-0.03169873094826982,0.004523407402243664
5,4,Comamonadaceae,-0.08262857515598725,-0.12640138316991406,-0.09086721319857897,-0.13736705620024592,0.018467717539252478
5,4,Enterobacteriaceae,0.0035835228101167727,0.08625860602246005,-0.00658878130840274,0.010204848171432725,-9.194755933067325e-4
5,4,Enterococcaceae,-0.03522774267070933,0.06672174990208608,-0.05495507911408296,-0.0524199585545746,0.007787574154464524
5,4,Lactobacillaceae,0.002801347944638545,-0.008866442237017892,0.006330989428659132,0.004256625442412405,-7.658298294350676e-4
6,5,Bacillaceae,-0.012859896247540345,0.04874826571344204,-0.017777987081303598,-0.026398322683917272,0.0032867969804517908
6,5,Comamonadaceae,-0.06912412238592716,-0.10588287189868324,-0.07633730970919991,-0.10805273036233023,0.01501356958900966
6,5,Enterobacteriaceae,0.0016994266784398327,0.06676824793459037,-0.00671592925902697,0.00853229663205406,-6.297120551763575e-4
6,5,Enterococcaceae,-0.03188718524765068,0.046067029644516144,-0.04957848714552514,-0.04064195234507195,0.006480845865712365
6,5,Lactobacillaceae,0.0014616991936501336,-0.00852484583235978,0.003794413825980823,0.0035785683247510666,-5.581760997355684e-4
7,6,Bacillaceae,-0.01662534895869174,0.033063208459602936,-0.016665148771067635,-0.010045247451180768,0.003037591668302972
7,6,Comamonadaceae,-0.06672221674010444,-0.09961660150360986,-0.06618703839721392,-0.07034917504513721,0.012911054396656806
7,6,Enterobacteriaceae,-0.0050867781484519835,0.047380699028307154,-0.007811168925496046,0.019425364672394484,-1.5321608232491302e-4
7,6,Enterococcaceae,-0.033208006850648,0.029930632278179548,-0.04357850947677118,-0.021359991817725466,0.005784550361664122
7,6,Lactobacillaceae,0.002526463073202529,-0.005443639962989981,0.0035796939960035775,3.860213926671622e-4,-5.334227720176015e-4
8,7,Bacillaceae,-0.013891667546739518,0.027573107398500604,-0.01405784762050512,-0.0065723974099887025,0.0024475048203842545
8,7,Comamonadaceae,-0.05943855810223461,-0.08046842301337624,-0.0584382729070513,-0.07561003881354356,0.012176552401255427
8,7,Enterobacteriaceae,-0.007301566756828649,0.04783232445301998,-0.007465377033472687,-3.8766753597846594e-4,0.0011580053479309095
8,7,Enterococcaceae,-0.030758646663483984,0.031843875910685666,-0.03749936539116797,-0.031314605259854654,0.005947403829646255
8,7,Lactobacillaceae,0.0022307741951448122,-0.004850701785006143,0.0030583062901612646,7.054685710133459e-4,-4.8520984511966474e-4
9.9,8,Bacillaceae,-0.011701819144507252,0.020433847027689456,-0.00881761550816788,-0.0073907034991013134,0.002180492817507394
9.9,8,Comamonadaceae,-0.029521847269979768,-0.13083042048598098,-0.06909462258948179,-0.03308172857390058,0.007065831502844197
9.9,8,Enterobacteriaceae,-0.004879107514486968,0.03995766701637554,-0.008446004463760978,0.0022928618775767086,5.971963146255611e-4
9.9,8,Enterococcaceae,-0.025358489561560428,0.022437426052831003,-0.025901585700203823,-0.028086984918584725,0.005079810813789171
9.9,8,Lactobacillaceae,0.0018365031640876987,-0.003540856563271984,0.002128343022201984,8.230246762043108e-4,-4.127936311273167e-4
