time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,Enterobacteriaceae,Muribaculaceae,Paenibacillaceae,Ruminococcaceae
2,1,C1,-0.031845980592892134,-0.06359546528994142,-0.055944471439037045,0.08344133930762533,-0.06290490907571436,-0.07978736335187045,-0.1035608484288316,-0.1205325495759488,-4.258086759176358e-5,0.007080114751706726,-0.08456551949281021,0.00835455785154849
2,1,C2,-0.06189286639998504,-0.12359819241093646,-0.10872843706269562,0.16216877514380412,-0.12225609200413112,-0.1550672495682729,-0.20127116944564688,-0.23425577887272944,-8.27561877507611e-5,0.013760248177810974,-0.1643536265038746,0.01623713647091301
2,1,C3,-0.05576766160460356,-0.11136634268590684,-0.09796816721533048,0.14611980186225304,-0.11015706275302369,-0.13972107615752855,-0.18135244207093906,-0.21107274173846263,-7.456625201919229e-5,0.012398470269842123,-0.14808843020978094,0.01463023422256401
2,1,C4,0.08921565754419628,0.17816098443323108,0.15672693107494362,-0.23375866637184695,0.17622640978435852,0.22352215107308065,0.29012292968850245,0.3376686936842765,1.1928915455815596e-4,-0.01983475092623972,0.23690802690501925,-0.023405068970722354
2,1,C5,-0.0595869256821877,-0.11899329816214467,-0.10467754485510196,0.15612685781939484,-0.11770120035104115,-0.14928991357505075,-0.19377241535750986,-0.22552811815346296,-7.967294287806591e-5,0.01324758301289273,-0.15823030823608417,0.01563218995111958
2,1,C6,-0.07669412536105547,-0.15315586132179046,-0.13473010489622472,0.20095033715437574,-0.1514928067109173,-0.19215052993225193,-0.2494038036834954,-0.29027645860365486,-1.0254676842308031e-4,0.017050918145043687,-0.20365768088962338,0.020120137463936698
2,1,C7,-0.10114171370813413,-0.2019769598467463,-0.17767767261350653,0.26500675735382295,-0.1997837776109223,-0.25340185830116657,-0.3289056103205117,-0.38280713593234555,-1.3523533705761764e-4,0.02248619530333092,-0.26857711406225176,0.02653378174098241
2,1,C8,-0.11767528603554074,-0.23499400644072063,-0.20672253000635124,0.30832724530407357,-0.23244230608419506,-0.2948253007021097,-0.38267160357643426,-0.44538437767899985,-1.573421725509885e-4,0.026161999507011452,-0.31248124597807525,0.030871242353921104
2,1,Enterobacteriaceae,-3.714191908358389e-5,-7.417129514953832e-5,-6.524795257290202e-5,9.731750805253608e-5,-7.336590047950536e-5,-9.305588141220898e-5,-1.207828611636304e-4,-1.4057693058718866e-4,-4.9662001582550525e-8,8.257527145170504e-6,-9.862863770520015e-5,9.743908208327962e-6
2,1,Muribaculaceae,0.006147274480420008,0.012275922222176723,0.010799040104751446,-0.01610679923143321,0.012142623183680132,0.015401467107042804,0.019990496410064718,0.023266567782609437,8.21944483503875e-6,-0.0013666845209761322,0.016323801315687555,-0.0016126920672519488
2,1,Paenibacillaceae,-0.08171154188472424,-0.1631754911914191,-0.14354430091657872,0.21409673575177285,-0.16140363766478705,-0.2047212351769505,-0.26572008292621874,-0.3092666732123164,-1.0925549412941799e-4,0.018166408517245103,-0.21698119697976886,0.02143641963932878
2,1,Ruminococcaceae,0.004816771364686387,0.0096189475227171,0.008461718654071339,-0.012620677596523949,0.009514499446807071,0.012068006068649533,0.015663795553714527,0.018230800951993757,6.440445540725071e-6,-0.0010708822074182362,0.012790712207609379,-0.0012636443995364527
3,2,C1,-0.05864013149046019,-0.14664555668376578,-0.10608224301545376,0.05345189863607478,-0.1734036499333681,-0.20059072693519192,-0.2326695982663788,-0.27152300336816454,-1.7278197614511908e-4,0.029223448905250356,-0.20523749165241487,0.07677040048264677
