time,window,target_i,C1,C2,C3,C4,C5,C6,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
3,1,C1,-0.0024296193797502526,-0.004670585338191656,5.493212146742264e-4,-0.004574158069410713,-0.004144546915041695,8.99850081760696e-4,6.511944386206925e-6,0.00614804796751741,-0.009418530518921135
3,1,C2,6.477601968871875e-4,0.0012595877476593296,-1.6358931422018393e-4,0.0012342453032619515,0.0011185290759622912,-2.3834677815375442e-4,-1.751965102897183e-6,-0.001654062880641774,0.0025339492801371086
3,1,C3,-0.005826475372992717,-0.0114534792401371,0.0016190567800430954,-0.011228681772126856,-0.010177692127163811,0.002130426815025983,1.5894833753583406e-5,0.015006608557611894,-0.022989443386279246
3,1,C4,8.81853905270548e-4,0.0017260376161809443,-2.3612657004752998e-4,0.001691823285944518,0.0015333662088573288,-3.2325962471469686e-4,-2.397492828767272e-6,-0.0022635176283539917,0.0034676062996588336
3,1,C5,9.039948781219366e-4,0.0019807540485541507,-4.942088420950479e-4,0.0019510667353368194,0.0017713003377465592,-3.083894583535103e-4,-2.6904510961518145e-6,-0.002540104984378707,0.0038913255789536586
3,1,C6,0.0014814219948457571,0.0028735172630896845,-3.655992827802748e-4,0.0028153771498686127,0.0025513212805831215,-5.458744492570313e-4,-3.998856830191754e-6,-0.0037753952044381448,0.005783734144863512
3,1,Enterobacteriaceae,1.1609604591903064e-7,2.0285407013027222e-06,-2.1798511594845897e-6,2.069934366168497e-6,1.9013857849470222e-6,1.533243544027928e-7,-2.501759749241209e-9,-2.3619579697452496e-6,3.6184124359455287e-6
3,1,Lactobacillaceae,7.939766431734622e-5,0.001631575378831147,-0.001782172485899914,0.0016661082854055199,0.001530811543661318,1.314201943629674e-4,-2.0326391676522113e-6,-0.001919052492194205,0.002939901341147366
3,1,Paenibacillaceae,-1.5419187315717566e-4,-0.0028051443983701,0.0030275086611908047,-0.002862948233330153,-0.0026299947379043007,-2.1570222518994104e-4,3.4688189609366625e-6,0.0032749765811336635,-0.005017115520426695
4,2,C1,0.019093725801835732,-0.027650902132166522,0.08323910926191967,-0.030783759184393748,-0.03864211558279583,-0.015174232895924252,-2.32718925396089e-6,0.019293010449109763,-0.006396005831776611
