time,window,target_i,C1,C2,C3,C4,C5,C6,C7,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
3,1,C1,-0.007337502571496574,3.5228614022830493e-4,9.834209304222072e-4,0.00788520739153765,0.0017974061939230424,0.0015236718865367996,5.162012510862189e-5,5.937774472013847e-6,0.026874246846345647,-0.0064540064314201236
3,1,C2,0.0037543978480063162,-1.6625362282385187e-4,-5.82149323519832e-4,-0.003994610083645745,-7.942209469731139e-4,-8.034783022476808e-4,-2.4457230971329773e-5,-3.0463217333209013e-6,-0.013787590387697453,0.0033111698923047514
3,1,C3,-0.017572210464034066,8.008813319741942e-4,0.0025964587150042657,0.018761532884837725,0.003921083740897185,0.0037218760199386938,1.1764649890590069e-4,1.4244907960559332e-5,0.06447216455253958,-0.015483364689204256
3,1,C4,0.01829365017364218,-7.991886126880314e-4,-0.0028980317438487106,-0.019432948158024217,-0.00377226619421599,-0.003933590692755678,-1.1764823386394825e-4,-1.484980862163236e-5,-0.06720993267758607,0.016140855601891532
3,1,C5,0.03283635300994949,-0.0014192816605860356,-0.005287731680486473,-0.0348378027911475,-0.006634600211617631,-0.007086583500583166,-2.0904694634136796e-4,-2.6663637139562862e-5,-0.12067908097340933,0.028981782045592965
3,1,C6,-0.00401193424527822,1.8375952364412153e-4,5.876731674885658e-4,0.004286069775052693,9.033753215939089e-4,8.481970470009385e-4,2.6987007748593147e-5,3.2517457610029384e-6,0.014717335371128128,-0.003534453548845926
3,1,C7,3.2730946032755035e-4,-2.5204732432377787e-5,9.64991561248604e-6,-3.788753844092e-4,-1.6521507739593818e-4,-5.179731483523103e-5,-3.6279803045931932e-6,-2.593629159461893e-7,-0.0011738712978706133,2.819120085274739e-4
3,1,Enterobacteriaceae,9.570584397988216e-6,1.3480043183424174e-7,-4.634210715760693e-6,-8.585744682783701e-6,2.980888506048289e-6,-3.000023176484621e-6,1.566640556523189e-8,-8.487335530896926e-9,-3.841350849550288e-5,9.225227121745331e-6
3,1,Lactobacillaceae,0.021317469415761858,4.037762230374433e-4,-0.010906020766915762,-0.01882784991415861,0.007567242715863684,-0.00685862966633711,4.9352599905442194e-5,-1.9878530981596848e-5,-0.08996982809974892,0.02160677664790076
3,1,Paenibacillaceae,-0.005888856202613208,-1.0418490081306386e-4,0.002971253629678998,0.005222143637247226,-0.002024498353041912,0.0018821311166123487,-1.2606073194035828e-5,5.422149921995875e-6,0.02454054058947611,-0.005893553322650318
4,2,C1,-0.0257237430169479,-0.010316872576745345,0.057373861847900984,-0.017510490066154464,-0.1070711655776735,0.020373129450287103,0.002118048004178808,-2.020106071484336e-4,0.0777339662966843,0.016025007852096304
4,2,C2,0.009087606967030142,0.0016186001649033754,-0.010070793592862191,-9.341145451891103e-4,0.01859133608107496,-0.0042541931784237505,-6.426275067920535e-4,2.4969973132088956e-5,-0.025858733306459263,0.0013534816665600146
4,2,C3,-0.04904617680223578,-0.013442757660539243,0.07801231914780853,-0.011535410967032264,-0.14505261158648733,0.029784185258060095,0.003723979770665659,-2.426455348709037e-4,0.1432244541367391,0.00901922134456674
4,2,C4,0.04063173222139056,0.004685327272155066,-0.03203802019465031,-0.01298506671646315,0.05902956326643941,-0.015253700502580564,-0.0027866060158586946,5.363840584544992e-5,-0.11332826846239673,0.01476310034464176
4,2,C5,0.0683924846582595,0.004348950092547265,-0.03607227251945373,-0.034234862806553225,0.06582108802662144,-0.02051625273741985,-0.004521745312338851,9.423672863908536e-6,-0.1878673255976761,0.037055729385039905
4,2,C6,-0.011483619175998579,-0.0033225132972942327,0.019153460599538638,-0.0033087688396038466,-0.035618275838245526,0.007230684198281608,8.789322375530065e-4,-6.080159149450418e-5,0.03368527384011374,0.0027121597407168047
4,2,C7,0.003985704526377075,0.002997666378175558,-0.015955497622832424,0.0076045817937846665,0.029851669584127754,-0.00519883187521992,-3.9367977744482973e-4,6.327083230842348e-5,-0.013194580886051476,-0.007307355865433072
4,2,Enterobacteriaceae,1.614578810330639e-4,3.140051683297793e-5,-1.823251970102614e-4,3.3960505829721847e-6,3.6410519787049786e-4,-7.531617364363778e-5,-1.4689447074875794e-5,4.4874069523666144e-7,-4.153285681657376e-4,1.4190863571087608e-5
4,2,Lactobacillaceae,0.0510949762604604,0.012292337818864414,-0.07548051739745083,0.0029467882307108503,0.13237600752894252,-0.029713396899990054,-0.0028959479980540668,1.9674246615526686e-4,-0.1606703889334477,0.0018260577774849508
4,2,Paenibacillaceae,-0.036312411873685974,-0.007693758963150529,0.04550147823840271,-0.001560895826050308,-0.08672820513306732,0.018402310961523633,0.002920043477640257,-1.1540344009087731e-4,0.09975728471351364,-0.0022022256946310566
5,3,C1,0.152091235523098,-0.04753928786838105,0.47028939844988393,0.0692288634379326,-0.053972536992633456,0.15068102873978503,-0.10181400512698772,-4.931824874817715e-4,0.10768378082518747,0.1032668887989426
5,3,C2,0.03169587278001567,-0.0014603925722462584,0.035850051033408735,0.01580618049983957,0.03902676594869637,0.010497488542536073,-0.014126016563765775,1.732983214252136e-5,-0.022484184927450034,0.008842819086689255
5,3,C3,0.05328161025383335,-0.03585125956913498,0.31094427761303955,0.02602645497597953,-0.12957776575069638,0.1023095292163187,-0.05326719872358098,-4.395769574387796e-4,0.14742992509845781,0.06365181616828315
5,3,C4,0.13480399193202297,-0.023713131125811384,0.25957426806381445,0.042579215581013734,0.04570567695597288,0.07908133421712744,-0.06821710676534444,-2.0299983718329297e-4,-0.03609836229671386,0.06984082817718874
5,3,C5,0.3370094183489436,-0.06979952337523891,0.7366310062926705,0.11510900598276716,0.059368590672671875,0.22795081497227473,-0.1824923577450598,-6.437118693502046e-4,-0.01835865550204956,0.1875434362215254
5,3,C6,0.014757185056784809,-0.009715824406830529,0.08337703107670663,0.006057649872280433,-0.03550284771071697,0.02732724476882025,-0.014218026453685568,-1.202488765037972e-4,0.037881510516021226,0.01763417460721246
5,3,C7,-0.06408117127146531,0.019032628962439197,-0.18730536831342343,-0.025819381620938546,0.01939203169013565,-0.05958482110883247,0.04100260336863806,1.9807739321476913e-4,-0.03464732527284458,-0.04297306110902359
5,3,Enterobacteriaceae,3.730970482806759e-4,-5.5009380751849715e-5,6.336019807800534e-4,1.1795971410823152e-4,1.9383437799754767e-4,1.902113841304255e-4,-1.7881653359231854e-4,-4.3691505684587477e-7,-1.4170487388387473e-4,1.7370328628750958e-4
5,3,Lactobacillaceae,-0.09284791165559834,0.04299881739765376,-0.4008432784181649,-0.053538586421335556,0.10336924970668124,-0.13121680256276946,0.07766898128981341,4.6432327014828503e-4,-0.1643496594631191,-0.07541033602503923
5,3,Paenibacillaceae,-0.014862985495847941,-0.008687613767925397,0.06154606420454817,0.0017089010287910556,-0.06493019002619116,0.02220000460148302,-0.004309822732673276,-1.148308273317047e-4,0.07346886659532532,0.00568499495185119
6,4,C1,0.18296042845122806,-0.031714372132424964,0.4411004747392599,0.09512512001817845,0.034566701208882646,0.14026257966877884,-0.10947998393305108,-3.6828387365302526e-4,0.0726211562541109,0.08803302004656638
6,4,C2,0.1758543954085072,0.01757993242512273,0.20825318913674773,0.10384418090766229,0.1828572832406872,0.06346881538139626,-0.08093809121661376,-1.5970308052166175e-5,-0.01827313633136246,0.01967945072696154
