time,window,target_i,Bacillaceae,Comamonadaceae,Enterobacteriaceae,Enterococcaceae,Lactobacillaceae
2,1,Bacillaceae,-7.500407118172776e-4,-0.0017479142705293055,-9.767412752927503e-4,4.362201783928517e-4,1.0842734990350439e-4
2,1,Comamonadaceae,-0.0017177688745866433,-0.004003133006055437,-0.0022369662536807656,9.990463625558792e-4,2.48324022794551e-4
2,1,Enterobacteriaceae,-0.001061715174982603,-0.0024742484992490792,-0.0013826196600682775,6.174885919341105e-4,1.5348361890486816e-4
2,1,Enterococcaceae,3.422516255481125e-4,7.975920386480781e-4,4.45697525403553e-4,-1.990519485137127e-4,-4.94765633033915e-5
2,1,Lactobacillaceae,1.0787059744053665e-4,2.5138442975982024e-4,1.4047459457951198e-4,-6.27370361601356e-5,-1.5593984204732745e-5
3,2,Bacillaceae,1.1754249207169152e-5,6.713996642997814e-6,7.359532360451806e-5,5.762205883880193e-5,-1.3173096279117566e-6
3,2,Comamonadaceae,0.001395668826073634,0.0034498066626139023,0.001261350419627478,-0.0014267458953237029,-2.0540459858198835e-4
3,2,Enterobacteriaceae,-0.002500955142048791,-0.006199962166174239,-0.0022092026625979634,0.0026131103181450057,3.6840732707574573e-4
3,2,Enterococcaceae,-0.0026821660004958917,-0.006592008655302466,-0.0025304590292806075,0.002624200909181294,3.9404480164280457e-4
3,2,Lactobacillaceae,-5.478955655861987e-5,-1.364336052591438e-4,-4.6683531010278764e-5,5.9142542869825465e-5,8.082099393851614e-6
4,3,Bacillaceae,-0.004053485630367832,-0.019275153439928867,-0.007036530406239001,-0.0019442426930380244,0.0013789048644877577
4,3,Comamonadaceae,-4.973929589428031e-4,-0.007630844015450237,-0.0033783412519389857,-0.004408724675265324,6.266445958617927e-4
4,3,Enterobacteriaceae,5.438413264252326e-4,0.0037501384160982787,9.678585760794111e-4,5.516479533288104e-4,-2.7508517253089165e-4
4,3,Enterococcaceae,0.011282930500835444,0.05431259614857888,0.019302478153934523,0.005224144744169331,-0.003883102203663675
4,3,Lactobacillaceae,-2.2353831914538388e-4,-6.733612074004392e-4,-1.9033713540168192e-4,2.1512252454383447e-4,4.1954850600126974e-5
5,4,Bacillaceae,-0.002684883518908254,-0.02037148854677962,-0.006332369631996828,-0.0067854021728213035,0.00150049487372439
5,4,Comamonadaceae,8.918216520223562e-4,-0.02557730835313903,-0.004875919451711049,-0.02087451587778479,0.0019980960931385715
5,4,Enterobacteriaceae,0.0021025140045012308,-0.029354524348399687,-0.005524949069490146,-0.02801313861356003,0.002335104473287366
5,4,Enterococcaceae,0.008900271279746255,0.032279604544624994,0.013365359402570562,-0.003282522707887448,-0.0022627149994045633
5,4,Lactobacillaceae,-2.912527835865264e-4,0.0016380652400164017,1.8788981544397081e-4,0.0020510191313991752,-1.3547289775856576e-4
6,5,Bacillaceae,-0.001983089139308205,-0.015768143306350155,-0.004212387801095947,-0.005577164420302395,0.0011730498251943684
6,5,Comamonadaceae,0.008487982857345767,-0.0020802534913517746,0.037118017067679566,-0.027576869165177913,7.520619771993846e-4
6,5,Enterobacteriaceae,0.0031607098920628358,-0.019454048861712914,0.0035240573402257947,-0.02419406347122287,0.0016754442122694337
6,5,Enterococcaceae,0.010554493430973259,0.03354622918577622,0.028871887604554003,-0.007647852814402204,-0.0021584127019638123
6,5,Lactobacillaceae,-6.708387058901998e-4,2.540189181379278e-4,-0.0021681457778984213,0.0022425418452083554,-5.951445851738384e-5
7.9,6,Bacillaceae,-7.252030698588864e-4,-0.003165165137238712,0.005608505828812155,-0.0048403189177998835,5.64347351868304e-4
7.9,6,Comamonadaceae,0.008340112052552267,0.014386355541111145,0.04467418931686352,-0.025864570821210176,2.3626768919506483e-4
7.9,6,Enterobacteriaceae,5.476073831048002e-4,-0.02286008638128961,-0.009332392303379108,-0.010943106308713474,0.0012154144818403367
7.9,6,Enterococcaceae,0.007390196845243249,0.010248428106692546,0.008260124250267831,-0.009548529056255944,-7.893223576806207e-4
7.9,6,Lactobacillaceae,-5.341307786446577e-4,2.6136529490267265e-4,-0.0016037552865516718,0.0019258368803952773,-6.24672397766078e-5
