time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Enterobacteriaceae,Paenibacillaceae,Ruminococcaceae
2,1,C1,-4.907048121473665e-4,-1.8285329366553985e-4,-0.0026349476920986777,-0.00302989016569623,0.0012425478137890595,2.632674728228946e-4,-0.002196972187492777,0.0028890711580195566,-5.283904678163206e-4,0.0016809625190054754,-0.0010366481878265723,-0.001883517180809576,-0.003345001012675749,-0.0020001596319321794,-3.9885609420851745e-6,0.0049339424426109845,1.9563171111653438e-17
2,1,C2,-9.575890639770265e-5,-3.56830236818013e-5,-5.141985632998884e-4,-5.91269866505996e-4,2.4247779286004382e-4,5.137550043025932e-5,-4.287295515604087e-4,5.637896506179197e-4,-1.0311309792874958e-4,3.2803251268534634e-4,-2.0229737782889387e-4,-3.6756017253289445e-4,-6.527623755538791e-4,-3.9032243873152623e-4,-7.783502921914728e-7,9.628373735852921e-4,5.35849073659175e-18
2,1,C3,-0.003101186398306414,-0.0011556074714645594,-0.016652504195396576,-0.01914848588727041,0.00785272995898556,0.0016638139378785499,-0.013884559712171686,0.018258529277065498,-0.0033393545186889964,0.010623450129193206,-0.006551472861756437,-0.011903567516572306,-0.021139942764033682,-0.012640731640363098,-2.520715231685171e-5,0.03118183236494687,1.1538810651258964e-16
2,1,C4,-0.003283351764660389,-0.0012234884793638798,-0.0176306812985601,-0.020273278304999136,0.008314003564028661,0.0017615472684851903,-0.014700146259311396,0.01933104516216605,-0.003535510009250598,0.011247477335614757,-0.006936309921106281,-0.012602789510696825,-0.022381714435809125,-0.013383255053824003,-2.668783407756347e-5,0.03301347006316803,1.264149116672873e-16
2,1,C5,0.0014607543301230037,5.443267192150121e-4,0.007843842480445952,0.009019526749635179,-0.003698877725356709,-7.837076209293237e-4,0.006540055358324266,-0.008600329769831461,0.0015729388519357228,-0.005003972281556315,0.0030859455454597556,0.0056069470068746494,0.009957564288292588,0.0059541740185843585,1.1873345283927392e-5,-0.014687603645217998,-5.43762319051393e-17
2,1,C6,2.67618714584718e-4,9.972383028853987e-5,0.0014370376994502479,0.0016524299159165175,-6.776559766779216e-4,-1.4357980791040496e-4,0.001198176293039128,-0.001575630583832101,2.881715734088924e-4,-9.167569126390301e-4,5.653632257826911e-4,0.001027225399768674,0.0018242838650378381,0.0010908394138616669,2.175266119141063e-6,-0.0026908546678975583,-1.0592307842638306e-17
2,1,C7,-0.0022764970611645944,-8.483001905611199e-4,-0.012224152950804245,-0.014056385605176283,0.0057644766801222954,0.0012213608127436939,-0.010192279766732058,0.013403092527145924,-0.0024513298369081334,0.007798387420938063,-0.004809259038487014,-0.0087380869733112,-0.015518260238014673,-0.009279219219448409,-1.8503888770110397e-5,0.022889739803868048,8.935132503276254e-17
2,1,C8,0.0033765939930933625,0.001258233703285931,0.01813136600458622,0.02084900877261034,-0.008550108701423195,-0.0018115725489231407,0.015117608198742256,-0.019880017632389713,0.003635913150777448,-0.011566888695162023,0.007133290640963022,0.012960689687917295,0.023017321303342306,0.013763319273057758,2.7445728235668974e-5,-0.03395100272419056,-1.2599137072346377e-16
2,1,C9,-0.0010353692465230671,-3.8581377683719373e-4,-0.005559643474163875,-0.006392957680966167,0.002621730543260521,5.554847603345129e-4,-0.004635531142322321,0.006095834713623961,-0.0011148846047359846,0.003546769572362666,-0.0021872898462980046,-0.0039741525170175285,-0.007057830068870232,-0.0042202638322967135,-8.415718034731397e-6,0.01041043850138601,3.2308404178383765e-17
2,1,C10,0.001971462998440574,7.346341296859859e-4,0.010586205289217514,0.012172932082873523,-0.004992078695863077,-0.0010577073395551403,0.008826588346038718,-0.011607175529770253,0.0021228694527571606,-0.006753460177988884,0.004164853276569873,0.007567246819209976,0.013438926138462343,0.008035871276812741,1.6024502144039973e-5,-0.019822681011577022,-7.345792398717491e-17
2,1,C11,-9.774479572429039e-4,-3.642303355175621e-4,-0.005248622339391862,-0.006035318749311018,0.0024750640146565554,5.244094762249034e-4,-0.004376207291277554,0.005754817625239709,-0.0010525150163772565,0.0033483539181400008,-0.0020649270773124995,-0.003751827932474684,-0.006662996420408959,-0.003984171130982699,-7.944920548301387e-6,0.009828051085498307,4.0015736448648283e-17
