time,window,effector_j,target_i,strength
2,1,C1,C1,-0.031845980592892134
2,1,C2,C1,-0.06359546528994142
2,1,C3,C1,-0.055944471439037045
2,1,C4,C1,0.08344133930762533
2,1,C5,C1,-0.06290490907571436
2,1,C6,C1,-0.07978736335187045
2,1,C7,C1,-0.1035608484288316
2,1,C8,C1,-0.1205325495759488
2,1,Enterobacteriaceae,C1,-4.258086759176358e-5
2,1,Muribaculaceae,C1,0.007080114751706726
2,1,Paenibacillaceae,C1,-0.08456551949281021
2,1,Ruminococcaceae,C1,0.00835455785154849
2,1,C1,C2,-0.06189286639998504
2,1,C2,C2,-0.12359819241093646
2,1,C3,C2,-0.10872843706269562
2,1,C4,C2,0.16216877514380412
2,1,C5,C2,-0.12225609200413112
2,1,C6,C2,-0.1550672495682729
2,1,C7,C2,-0.20127116944564688
2,1,C8,C2,-0.23425577887272944
2,1,Enterobacteriaceae,C2,-8.27561877507611e-5
2,1,Muribaculaceae,C2,0.013760248177810974
2,1,Paenibacillaceae,C2,-0.1643536265038746
2,1,Ruminococcaceae,C2,0.01623713647091301
2,1,C1,C3,-0.05576766160460356
2,1,C2,C3,-0.11136634268590684
2,1,C3,C3,-0.09796816721533048
2,1,C4,C3,0.14611980186225304
2,1,C5,C3,-0.11015706275302369
2,1,C6,C3,-0.13972107615752855
2,1,C7,C3,-0.18135244207093906
2,1,C8,C3,-0.21107274173846263
2,1,Enterobacteriaceae,C3,-7.456625201919229e-5
2,1,Muribaculaceae,C3,0.012398470269842123
2,1,Paenibacillaceae,C3,-0.14808843020978094
2,1,Ruminococcaceae,C3,0.01463023422256401
2,1,C1,C4,0.08921565754419628
2,1,C2,C4,0.17816098443323108
2,1,C3,C4,0.15672693107494362
2,1,C4,C4,-0.23375866637184695
2,1,C5,C4,0.17622640978435852
2,1,C6,C4,0.22352215107308065
2,1,C7,C4,0.29012292968850245
2,1,C8,C4,0.3376686936842765
2,1,Enterobacteriaceae,C4,1.1928915455815596e-4
2,1,Muribaculaceae,C4,-0.01983475092623972
2,1,Paenibacillaceae,C4,0.23690802690501925
