time,window,effector_j,target_i,strength
3,1,C1,C1,-0.007337502571496574
3,1,C2,C1,3.5228614022830493e-4
3,1,C3,C1,9.834209304222072e-4
3,1,C4,C1,0.00788520739153765
3,1,C5,C1,0.0017974061939230424
3,1,C6,C1,0.0015236718865367996
3,1,C7,C1,5.162012510862189e-5
3,1,Enterobacteriaceae,C1,5.937774472013847e-6
3,1,Lactobacillaceae,C1,0.026874246846345647
3,1,Paenibacillaceae,C1,-0.0064540064314201236
3,1,C1,C2,0.0037543978480063162
3,1,C2,C2,-1.6625362282385187e-4
3,1,C3,C2,-5.82149323519832e-4
3,1,C4,C2,-0.003994610083645745
3,1,C5,C2,-7.942209469731139e-4
3,1,C6,C2,-8.034783022476808e-4
3,1,C7,C2,-2.4457230971329773e-5
3,1,Enterobacteriaceae,C2,-3.0463217333209013e-6
3,1,Lactobacillaceae,C2,-0.013787590387697453
3,1,Paenibacillaceae,C2,0.0033111698923047514
3,1,C1,C3,-0.017572210464034066
3,1,C2,C3,8.008813319741942e-4
3,1,C3,C3,0.0025964587150042657
3,1,C4,C3,0.018761532884837725
3,1,C5,C3,0.003921083740897185
3,1,C6,C3,0.0037218760199386938
3,1,C7,C3,1.1764649890590069e-4
3,1,Enterobacteriaceae,C3,1.4244907960559332e-5
3,1,Lactobacillaceae,C3,0.06447216455253958
3,1,Paenibacillaceae,C3,-0.015483364689204256
3,1,C1,C4,0.01829365017364218
3,1,C2,C4,-7.991886126880314e-4
3,1,C3,C4,-0.0028980317438487106
3,1,C4,C4,-0.019432948158024217
3,1,C5,C4,-0.00377226619421599
3,1,C6,C4,-0.003933590692755678
3,1,C7,C4,-1.1764823386394825e-4
3,1,Enterobacteriaceae,C4,-1.484980862163236e-5
3,1,Lactobacillaceae,C4,-0.06720993267758607
3,1,Paenibacillaceae,C4,0.016140855601891532
3,1,C1,C5,0.03283635300994949
3,1,C2,C5,-0.0014192816605860356
3,1,C3,C5,-0.005287731680486473
3,1,C4,C5,-0.0348378027911475
3,1,C5,C5,-0.006634600211617631
3,1,C6,C5,-0.007086583500583166
3,1,C7,C5,-2.0904694634136796e-4
3,1,Enterobacteriaceae,C5,-2.6663637139562862e-5
3,1,Lactobacillaceae,C5,-0.12067908097340933
3,1,Paenibacillaceae,C5,0.028981782045592965
3,1,C1,C6,-0.00401193424527822
3,1,C2,C6,1.8375952364412153e-4
3,1,C3,C6,5.876731674885658e-4
3,1,C4,C6,0.004286069775052693
3,1,C5,C6,9.033753215939089e-4
3,1,C6,C6,8.481970470009385e-4
3,1,C7,C6,2.6987007748593147e-5
3,1,Enterobacteriaceae,C6,3.2517457610029384e-6
3,1,Lactobacillaceae,C6,0.014717335371128128
3,1,Paenibacillaceae,C6,-0.003534453548845926
3,1,C1,C7,3.2730946032755035e-4
3,1,C2,C7,-2.5204732432377787e-5
3,1,C3,C7,9.64991561248604e-6
3,1,C4,C7,-3.788753844092e-4
3,1,C5,C7,-1.6521507739593818e-4
3,1,C6,C7,-5.179731483523103e-5
3,1,C7,C7,-3.6279803045931932e-6
3,1,Enterobacteriaceae,C7,-2.593629159461893e-7
3,1,Lactobacillaceae,C7,-0.0011738712978706133
3,1,Paenibacillaceae,C7,2.819120085274739e-4
3,1,C1,Enterobacteriaceae,9.570584397988216e-6
3,1,C2,Enterobacteriaceae,1.3480043183424174e-7
3,1,C3,Enterobacteriaceae,-4.634210715760693e-6
3,1,C4,Enterobacteriaceae,-8.585744682783701e-6
3,1,C5,Enterobacteriaceae,2.980888506048289e-6
3,1,C6,Enterobacteriaceae,-3.000023176484621e-6
3,1,C7,Enterobacteriaceae,1.566640556523189e-8
3,1,Enterobacteriaceae,Enterobacteriaceae,-8.487335530896926e-9
3,1,Lactobacillaceae,Enterobacteriaceae,-3.841350849550288e-5
3,1,Paenibacillaceae,Enterobacteriaceae,9.225227121745331e-6
3,1,C1,Lactobacillaceae,0.021317469415761858
3,1,C2,Lactobacillaceae,4.037762230374433e-4
3,1,C3,Lactobacillaceae,-0.010906020766915762
3,1,C4,Lactobacillaceae,-0.01882784991415861
3,1,C5,Lactobacillaceae,0.007567242715863684
3,1,C6,Lactobacillaceae,-0.00685862966633711
3,1,C7,Lactobacillaceae,4.9352599905442194e-5
3,1,Enterobacteriaceae,Lactobacillaceae,-1.9878530981596848e-5
3,1,Lactobacillaceae,Lactobacillaceae,-0.08996982809974892
3,1,Paenibacillaceae,Lactobacillaceae,0.02160677664790076
3,1,C1,Paenibacillaceae,-0.005888856202613208
3,1,C2,Paenibacillaceae,-1.0418490081306386e-4
3,1,C3,Paenibacillaceae,0.002971253629678998
3,1,C4,Paenibacillaceae,0.005222143637247226
3,1,C5,Paenibacillaceae,-0.002024498353041912
3,1,C6,Paenibacillaceae,0.0018821311166123487
3,1,C7,Paenibacillaceae,-1.2606073194035828e-5
3,1,Enterobacteriaceae,Paenibacillaceae,5.422149921995875e-6
3,1,Lactobacillaceae,Paenibacillaceae,0.02454054058947611
3,1,Paenibacillaceae,Paenibacillaceae,-0.005893553322650318
4,2,C1,C1,-0.0257237430169479
4,2,C2,C1,-0.010316872576745345
4,2,C3,C1,0.057373861847900984
4,2,C4,C1,-0.017510490066154464
4,2,C5,C1,-0.1070711655776735
4,2,C6,C1,0.020373129450287103
4,2,C7,C1,0.002118048004178808
4,2,Enterobacteriaceae,C1,-2.020106071484336e-4
4,2,Lactobacillaceae,C1,0.0777339662966843
4,2,Paenibacillaceae,C1,0.016025007852096304
4,2,C1,C2,0.009087606967030142
4,2,C2,C2,0.0016186001649033754
4,2,C3,C2,-0.010070793592862191
4,2,C4,C2,-9.341145451891103e-4
4,2,C5,C2,0.01859133608107496
4,2,C6,C2,-0.0042541931784237505
4,2,C7,C2,-6.426275067920535e-4
