time,window,target_i,C1,C2,C3,C4,C5,C6,C7,Enterobacteriaceae,Paenibacillaceae
2,1,C1,-0.10426720043852672,-0.06991089653889972,-0.1670048027216291,-0.18128188813800372,-0.1634382070367003,-0.25673959000557905,-0.2057319002444256,-9.140593670104464e-6,0.008217802167673113
2,1,C2,-0.07286812625766852,-0.048857896005242804,-0.11671289724069474,-0.12669057438495895,-0.11422034787151251,-0.17942490813204887,-0.1437776982520918,-6.387990958056926e-6,0.00574308932623153
2,1,C3,-0.16123035268336325,-0.10810454733578907,-0.25824269884851075,-0.280319627233384,-0.2527276041903487,-0.39700130501524844,-0.31812714540258097,-1.4134273625531364e-5,0.01270734359610245
2,1,C4,-0.17603263837855837,-0.11802944279115463,-0.28195152379018273,-0.30605529759086325,-0.2759300976292516,-0.4334493226521124,-0.34733385998996275,-1.5431917355865802e-5,0.01387398329641941
2,1,C5,-0.1577846473768208,-0.10579421056472317,-0.25272371174100455,-0.2743288270458847,-0.24732648193033205,-0.3885168634654504,-0.3113283486820799,-1.3832205554445131e-5,0.012435770901926569
2,1,C6,-0.24286471136480792,-0.16284018020782237,-0.38899647289789885,-0.42225141993968524,-0.3806889684484446,-0.5980115142669993,-0.47920168913381334,-2.1290757151398956e-5,0.01914134208179594
2,1,C7,-0.2043319266523957,-0.1370040446440467,-0.32727850135798564,-0.35525723635652046,-0.32028906110422833,-0.5031313284824911,-0.40317180641659456,-1.791277705264845e-5,0.016104387023979514
2,1,Enterobacteriaceae,-7.562523368226045e-6,-5.070652962249352e-6,-1.2112895693722215e-5,-1.3148415892187207e-5,-1.1854209710988933e-5,-1.862137988552482e-5,-1.4921780738759833e-5,-6.629693032794046e-10,5.960390292163552e-7
2,1,Paenibacillaceae,0.0074481377546666136,0.0049939576950756,0.011929684226009046,0.01294954184632555,0.011674910952488472,0.01833972548793601,0.01469608397564322,6.529416779969095e-7,-5.870237459910851e-4
3,2,C1,-0.15387854647146,-0.036592890524599145,-0.37647956319675935,-0.38572489361559337,-0.3684940890838876,-0.6912929010844358,-0.33514166479071184,-4.902016954912432e-5,0.029456974667667748
3,2,C2,-0.13338424668931217,-0.03371509930187784,-0.3224410010484244,-0.3308094498062223,-0.31560066027387146,-0.5898589881178737,-0.28956101371952936,-4.142638581484488e-5,0.025014305013151168
3,2,C3,-0.19114258186387062,-0.04681655842792522,-0.46499003444958037,-0.4767161772009926,-0.45512643988210044,-0.8523090486963735,-0.41565647944871237,-6.016426931109982e-5,0.03623591177023729
3,2,C4,-0.21503576014356615,-0.049203029912017006,-0.5298819423731777,-0.5424583734115107,-0.5186437042921906,-0.9751097416853344,-0.4692549926788821,-6.953431305077328e-5,0.04166746595159316
3,2,C5,-0.18317819213673392,-0.03935358003666113,-0.45637871232888294,-0.4666372882405518,-0.44670076781743445,-0.8426583553300626,-0.4009467515336469,-6.059890289863635e-5,0.036160710515749886
3,2,C6,-0.23887600988948945,-0.049901799734706,-0.5979152773985122,-0.6110413183439655,-0.5852366644725762,-1.1055320442701626,-0.5235312409496259,-7.978138946911547e-5,0.04752486242099371
3,2,C7,-0.2896737331590423,-0.06844859015942473,-0.7095694581689581,-0.7268960416187102,-0.6945190793370796,-1.303396941123868,-0.6311052865757562,-9.251277504939025e-5,0.05556596135071551
3,2,Enterobacteriaceae,1.8884360642035178e-6,4.483871522651887e-7,4.621598761303142e-6,4.734937234844084e-6,4.52357081734842e-6,8.486956845476792e-6,4.113269087780967e-6,6.019559860356156e-10,-3.6168294535062355e-7
3,2,Paenibacillaceae,0.0055182422658563626,0.00259135437103284,0.011003309526832039,0.011562022356696728,0.010769231177945428,0.01878914540633525,0.011412990249942691,1.0753479217834938e-6,-7.234529584507756e-4
4,3,C1,-0.10695314360609817,-0.0421962117141497,-0.14322223794861286,-0.21211232784079276,-0.23045314189078853,-0.3617365516843856,-0.21672588235974619,-7.756836378594996e-6,-0.013202000941738228
4,3,C2,-0.0948039219956599,-0.050662028818166754,-0.004513490349269469,-0.13493642512656706,-0.18611009792080113,-0.21326984889456913,-0.17650558692320456,1.976411775927102e-5,-0.04817042697168664
4,3,C3,-0.14666266645073253,-0.0808858879652666,-0.11084505285565846,-0.23757481877378767,-0.27502114699791047,-0.36902985716581854,-0.28237171852464554,9.875379927516505e-6,-0.03797866301467576
4,3,C4,-0.15126803694402233,-0.051156623803732766,-0.32069104002992366,-0.34618349386174824,-0.33468281271678746,-0.5990819463877703,-0.32036003020707365,-3.6083245626295657e-5,0.018250758751659612
4,3,C5,-0.11960930911796855,-0.016070719934997535,-0.4119826934895146,-0.35091385041198975,-0.3030013918827974,-0.6399198772647087,-0.2755549613422758,-6.399398327953331e-5,0.05866822324626728
4,3,C6,-0.16336542942562537,-0.024038982950359302,-0.6380966533165424,-0.49990073792214196,-0.40393957743040065,-0.9013976324138039,-0.38304699875918913,-1.0239522569305593e-4,0.10676670891059582
4,3,C7,-0.204257601664718,-0.08099532481399871,-0.30604433491666005,-0.4145586482507154,-0.43685403533918465,-0.7045049945057483,-0.41692416730954107,-2.1347232647671273e-5,-0.013924948091250574
4,3,Enterobacteriaceae,-4.4420306210171554e-7,-2.3350931094954946e-6,1.8871180246258016e-6,2.4218025932611744e-6,3.3011238990019346e-6,7.81941039500962e-6,-4.524231120881789e-8,7.68673654624755e-10,-2.3479230108287318e-8
4,3,Paenibacillaceae,0.009622507575251717,0.017262111983863036,-0.06569318925533413,-0.020818884202563046,-0.0011197204357505121,-0.05509314217752268,0.008074290373855495,-1.7082675036175673e-5,0.022572444261318072
5,4,C1,0.023003068344362606,0.10445508761363569,0.12876772877846926,-0.037862609923910585,-0.09829502247035449,-0.20840450912307149,-0.022318925244490462,2.601612033217002e-5,-0.06458020810923118
5,4,C2,0.09465335871982383,0.18118935523030127,0.3705025459742247,0.09104322973856313,-0.018836871162275583,-0.06284336693228004,0.09034898353016922,6.537153949444559e-5,-0.12217285830317397
5,4,C3,-0.23336549871136195,-0.22549606001090416,-0.32356141232390895,-0.3073995814114025,-0.309246101735165,-0.3319571197002648,-0.36071624779617056,-2.6687256809201096e-5,0.022079517315546603
5,4,C4,-0.14353568112326856,-0.0795397712430139,-0.28599147699573946,-0.2858775798859383,-0.2796908970147248,-0.4552661757546244,-0.2708091517838431,-3.403413598548258e-5,0.02150813741804092
5,4,C5,0.07787265038648039,0.20913296853445623,0.07021063139129449,-0.06798029964824982,-0.10415928421149914,-0.37951666188821465,0.01850374017478366,3.4913093637459583e-6,-0.04320906357576125
5,4,C6,-0.2846043646725922,-0.23463837865975523,-0.8055464426894798,-0.5481246558965893,-0.432459060467515,-0.7510635026785041,-0.48848131399894695,-1.2229123087496383e-4,0.15075548185884058
5,4,C7,-0.17897502167437226,-0.0964817868117979,-0.26570813082917666,-0.33198896326290567,-0.3529494892625639,-0.5312085196024362,-0.3371278698721083,-2.1817556781556446e-5,-0.0046429610941504705
5,4,Enterobacteriaceae,-3.728592128115601e-6,-6.298711028186642e-6,-2.4171513876750025e-6,-8.570111191168309e-7,-1.4243387391623647e-6,5.240266730378354e-6,-3.049952655673791e-6,-7.56204686836702e-11,3.477793732869004e-7
5,4,Paenibacillaceae,0.07411148525987679,0.10174322204855518,0.09124984606306406,0.05831726214590885,0.05184238162156879,-0.006286409526245423,0.09127230409942877,6.670654238342357e-6,-0.014042766599811199
6,5,C1,-0.1064245764135907,-0.049969473869543236,-0.0629973140904448,-0.13809168706305072,-0.2259778467484683,-0.19557155933954085,-0.14006210382817888,-6.687215933617186e-6,-0.031200719736232004
6,5,C2,-0.20932571791852644,-0.1664673320495407,-0.07975859698303234,-0.17249919602516306,-0.35032045090005864,-0.11680452868398214,-0.20568488094889942,-9.965040878043835e-6,-0.05175291531088078
6,5,C3,-0.316432923351157,-0.3156191703784516,-0.43237448633326253,-0.35845906531903277,-0.40182597396212266,-0.2958053524062091,-0.41596893777061733,-5.0195046025754717e-05,0.03903349359018692
6,5,C4,-0.22780537717932808,-0.18258786616898862,-0.3791248047225908,-0.32621306554846613,-0.3576327439926639,-0.38966711467285114,-0.32730428695681685,-5.2173161996375336e-5,0.03567870595024036
6,5,C5,-0.05724888521934502,0.04129212493498839,-0.10320777949853101,-0.15772305726539393,-0.2246803246509505,-0.33074980509416263,-0.10262717490247886,-2.356306229850839e-5,-0.014898437238500963
6,5,C6,-0.32661254499701076,-0.29130754955391236,-0.7749274332448511,-0.5233518626373843,-0.46336003469508674,-0.6219401731193457,-0.4874210110694846,-1.1948632095485399e-4,0.13639835446811324
6,5,C7,-0.2627396756214778,-0.20317919429827316,-0.37193797566540193,-0.36875134619536926,-0.42392843997546187,-0.4517231804740467,-0.38670050815635515,-4.39327153970258e-5,0.015960456315363063
6,5,Enterobacteriaceae,-1.9828852254634605e-5,-2.2632272750281947e-5,-2.4457472288465596e-5,-1.5351922389247372e-5,-2.120534172960539e-5,1.0254165510786713e-7,-1.9041325191464603e-5,-3.791535473066625e-9,3.0405826087939017e-6
6,5,Paenibacillaceae,0.06990712025256707,0.09237408201858038,0.08722888356306356,0.055920285925951094,0.0542664560891585,-0.0023662183644025205,0.08340910494915343,7.727208237365183e-6,-0.012968362066549449
7,6,C1,-0.1361416298778737,-0.08759975515719767,-0.1183996591460957,-0.15478799677907923,-0.24345318345452993,-0.1684535264495516,-0.1612877934340076,-1.9747883032311537e-5,-0.009318988400458535
7,6,C2,-0.11171091840810773,-0.08399720675587038,0.022065473941400193,-0.08925835461851742,-0.21622478495270395,-0.08656135901104675,-0.11020546992340634,9.64181388591204e-6,-0.06259679004837942
7,6,C3,-0.38835110949102736,-0.3808500960949786,-0.5338231416341274,-0.4039213875203579,-0.4812867317642041,-0.26264417084807223,-0.4645933477649594,-7.87667235966133e-5,0.0751900309580132
7,6,C4,-0.2825101573577675,-0.2396755148849288,-0.44482113188046524,-0.34993587046992947,-0.40677435139585,-0.33633334959963407,-0.36044756225697644,-7.086947571657297e-5,0.06135027064335502
7,6,C5,-0.14978630490232844,-0.06184131134039403,-0.22822849948686028,-0.21766225678867748,-0.30697327047400075,-0.28876290313253644,-0.18244471256761938,-4.9711674177001076e-5,0.02226889267876914
7,6,C6,-0.37439468836243933,-0.33877869258689053,-0.7874062793931207,-0.5221258253403323,-0.506308646289202,-0.5307842385396998,-0.5029244985580857,-1.2962895544456733e-4,0.1481802989731177
7,6,C7,-0.3190173349688907,-0.26361643761016346,-0.4493822573149946,-0.3916830042174732,-0.4707340787079036,-0.3889967880776081,-0.4169782403519728,-6.621518562871917e-5,0.04744197105230905
7,6,Enterobacteriaceae,-2.0677855958570443e-5,-2.3885521750522292e-5,-2.5720756047323604e-5,-1.5958105173628536e-5,-2.2143880937299546e-5,1.9205131030692776e-8,-1.9399703105840573e-5,-4.498753240393293e-9,4.341601472696203e-6
7,6,Paenibacillaceae,0.03901846629071241,0.061337832396209976,0.04487915265188086,0.0294970229146339,0.021706035738648998,-0.0057316088878752525,0.05023785466969031,1.0467802684192697e-6,-0.005189165671692479
8,7,C1,-0.1485237223356331,-0.13736875551292677,-0.13608288989015946,-0.15405622398743432,-0.2425827940880361,-0.13675829090456404,-0.1635432335604592,-1.9582620626420457e-5,-0.007278975497041876
8,7,C2,-0.0841130598896671,-0.05202385711738739,0.031579637498408766,-0.06880205761187494,-0.17350235444694037,-0.07610635194145277,-0.08564306142622197,1.0942168602334913e-5,-0.0571982710879748
8,7,C3,-0.39032557080261554,-0.4392024949764189,-0.5196351037473689,-0.38476935557472947,-0.4740447648209529,-0.2113223640185689,-0.4438075127372131,-7.207750326710875e-5,0.06521641581503734
8,7,C4,-0.273810471409493,-0.26830058116666144,-0.4152493977965,-0.32106103655564344,-0.3825997995980022,-0.28014478029272755,-0.3340818530468919,-6.283968394488872e-5,0.052231602056814215
8,7,C5,-0.149706659057358,-0.096141029255279,-0.21845235501497254,-0.20082735020904582,-0.2860802440966269,-0.24176136268771115,-0.1735224171550087,-4.345642514074029e-5,0.01779727833982597
8,7,C6,-0.3594377579983533,-0.3662405202837781,-0.7159184194853071,-0.4730244622162875,-0.47508693860011003,-0.44492419855273624,-0.46142979407781515,-1.1406336664838682e-4,0.12739228969892466
8,7,C7,-0.29961395346721703,-0.2785186658462794,-0.41323799399008837,-0.35312176960669517,-0.43158633343724945,-0.3263459343306437,-0.37815883491151,-5.820475521641506e-5,0.03982741555422619
8,7,Enterobacteriaceae,-1.7307726084796546e-4,-3.864792418507883e-4,-1.8167527914188597e-4,-1.2370131785024042e-4,-2.0785883827339533e-4,4.8505880491766165e-5,-1.543444204983577e-4,2.9526129152588913e-8,-8.443938645569092e-5
8,7,Paenibacillaceae,0.12081864455094983,0.22063270036539961,0.1335343508270896,0.08417018279672701,0.11160104081319407,-0.02433065834529064,0.11234296364296965,9.644022923501038e-6,-0.009083019585615304
9,8,C1,-0.13329761279488142,-0.1271922903843319,-0.12052938510823137,-0.13580834393724125,-0.21491633404707783,-0.11788580245227966,-0.14493896861320996,3.716062891874259e-4,-0.017595165238786962
9,8,C2,-0.09549472424187959,-0.09430559769368783,0.013113231651526242,-0.07077118675040858,-0.17377082023000162,-0.05746787880964456,-0.09046750752692947,0.001551537526055683,-0.10143991174059573
9,8,C3,-0.38969295928602843,-0.49299084697689477,-0.487010402212652,-0.360499719583075,-0.464197626004013,-0.16480007235824998,-0.42304867064211155,0.003122607909682849,-0.0522674750272952
9,8,C4,-0.2752785594239594,-0.3152908728320859,-0.38717842061128943,-0.2984746484077668,-0.3712684528785259,-0.23002868953997058,-0.3179862718977289,0.00231754910123892,-0.035553588326770295
9,8,C5,-0.16541049604398278,-0.16126011996443387,-0.2139527280684548,-0.19248208840574454,-0.2851674645315894,-0.19705113779130778,-0.17645831441191775,0.00230756097451174,-0.06377267831967448
9,8,C6,-0.34541196331914564,-0.39022922462741993,-0.646468797160542,-0.4287598352160228,-0.44713101356491824,-0.3758139353194275,-0.42573170542335786,0.002000647833086762,0.03985412797962128
9,8,C7,-0.29492107039071386,-0.3173815111422127,-0.3831315957128256,-0.3247978295669514,-0.41080670100830624,-0.2715071963766774,-0.3541696464510333,0.002198679271980327,-0.04128235722334014
9,8,Enterobacteriaceae,-0.007038533625737816,-0.015952947087515473,-0.004999934665312474,-0.0036720893331772366,-0.007398486475544903,0.002810612918940836,-0.005241479715608435,4.170263023523248e-4,-0.014814033547257332
9,8,Paenibacillaceae,0.25801774888904144,0.5396410097784463,0.224949156010872,0.15322805184133015,0.2582106224927937,-0.08237501976607584,0.21193086484403542,-0.008993062813295918,0.3136140242549438
10,9,C1,-0.14036911841094596,-0.15641143869892174,-0.10994865585335002,-0.12189027485383899,-0.19712223213927146,-0.08413569169752226,-0.13006886694768094,0.005279532278497572,-0.10560137555994974
10,9,C2,-0.10824951799898405,-0.13012000545267458,0.00864709656639794,-0.06409217067476677,-0.16065970339498703,-0.028804898496518384,-0.08146952414737392,0.006718945223430183,-0.18620137482445903
10,9,C3,-0.3905937358959015,-0.5256666374298589,-0.43857212386948236,-0.32298095435403773,-0.42552737133080126,-0.10535715690132443,-0.3789695923068865,0.012683204729252143,-0.2282196783246109
10,9,C4,-0.28361598471410837,-0.3573558030972151,-0.3489470791953139,-0.26732394054861924,-0.3408618395928277,-0.1676583383181248,-0.28477126806764086,0.010873592081243295,-0.19181986475291218
10,9,C5,-0.21627856848294305,-0.27991231081306434,-0.1999374743904482,-0.17574781243350648,-0.2746571025040086,-0.11189075517304765,-0.16254826152794027,0.017340855495760348,-0.33869759259661064
10,9,C6,-0.36532369882349097,-0.4618960444503512,-0.5826119396010365,-0.3850144289539946,-0.4157608969694317,-0.2809935903297313,-0.38353915077246403,0.014574418889271105,-0.20253275012921154
10,9,C7,-0.3265908365167933,-0.40921798532020603,-0.3497369740958936,-0.2931579323796702,-0.38539457498109986,-0.18287539821071663,-0.3205267725870841,0.016091917735500748,-0.29927572505463806
10,9,Enterobacteriaceae,-0.013584318957106292,-0.02855822740695812,-0.005618102169744546,-0.0038927685425692174,-0.00910593112212033,0.008878271104433053,-0.005531866529089217,0.0019334777214754736,-0.042711358753447136
