time,window,effector_j,target_i,strength
2,1,C1,C1,-0.10426720043852672
2,1,C2,C1,-0.06991089653889972
2,1,C3,C1,-0.1670048027216291
2,1,C4,C1,-0.18128188813800372
2,1,C5,C1,-0.1634382070367003
2,1,C6,C1,-0.25673959000557905
2,1,C7,C1,-0.2057319002444256
2,1,Enterobacteriaceae,C1,-9.140593670104464e-6
2,1,Paenibacillaceae,C1,0.008217802167673113
2,1,C1,C2,-0.07286812625766852
2,1,C2,C2,-0.048857896005242804
2,1,C3,C2,-0.11671289724069474
2,1,C4,C2,-0.12669057438495895
2,1,C5,C2,-0.11422034787151251
2,1,C6,C2,-0.17942490813204887
2,1,C7,C2,-0.1437776982520918
2,1,Enterobacteriaceae,C2,-6.387990958056926e-6
2,1,Paenibacillaceae,C2,0.00574308932623153
2,1,C1,C3,-0.16123035268336325
2,1,C2,C3,-0.10810454733578907
2,1,C3,C3,-0.25824269884851075
2,1,C4,C3,-0.280319627233384
2,1,C5,C3,-0.2527276041903487
2,1,C6,C3,-0.39700130501524844
2,1,C7,C3,-0.31812714540258097
2,1,Enterobacteriaceae,C3,-1.4134273625531364e-5
2,1,Paenibacillaceae,C3,0.01270734359610245
2,1,C1,C4,-0.17603263837855837
2,1,C2,C4,-0.11802944279115463
2,1,C3,C4,-0.28195152379018273
2,1,C4,C4,-0.30605529759086325
2,1,C5,C4,-0.2759300976292516
2,1,C6,C4,-0.4334493226521124
2,1,C7,C4,-0.34733385998996275
2,1,Enterobacteriaceae,C4,-1.5431917355865802e-5
2,1,Paenibacillaceae,C4,0.01387398329641941
2,1,C1,C5,-0.1577846473768208
2,1,C2,C5,-0.10579421056472317
2,1,C3,C5,-0.25272371174100455
2,1,C4,C5,-0.2743288270458847
2,1,C5,C5,-0.24732648193033205
2,1,C6,C5,-0.3885168634654504
2,1,C7,C5,-0.3113283486820799
2,1,Enterobacteriaceae,C5,-1.3832205554445131e-5
2,1,Paenibacillaceae,C5,0.012435770901926569
2,1,C1,C6,-0.24286471136480792
2,1,C2,C6,-0.16284018020782237
2,1,C3,C6,-0.38899647289789885
