time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Enterobacteriaceae,Paenibacillaceae
2,1,C1,-0.06846390228084244,0.006264338875539392,-0.13189799321256473,-0.1404873166529276,-0.1564151512936085,-0.09998458984523209,-0.22135869836505473,-0.017171127141935257,-0.1761297270472895,0.033432192623814264,-0.20774585038753807,-0.20533714452862914,-0.25124617216410655,-0.2243307985295323,-2.8217252811877777e-5,0.034232059969579724
2,1,C2,0.006274976912908929,-5.74150472133501e-4,0.01208895249459739,0.012876196640639387,0.014336043235899425,0.00916396775561914,0.020288366211064855,0.0015737990794371906,0.016142959049647285,-0.0030641875480863588,0.019040696944018734,0.018819929895236714,0.023027666803439924,0.02056077048972322,2.586218489473879e-6,-0.0031374984310605604
2,1,C3,-0.1270178834854051,0.011621935631749757,-0.24470419265774504,-0.2606395636725485,-0.2901897321140998,-0.18549674441872083,-0.41067646483365894,-0.03185679100908783,-0.32676526465931294,0.06202518708229564,-0.385421183134699,-0.3809524235410303,-0.466125300471287,-0.4161904635953714,-5.2350152569965496e-5,0.06350914364836253
2,1,C4,-0.13764021706693727,0.012593862369591565,-0.2651684728983204,-0.28243649741056753,-0.314457906420481,-0.20100958594493218,-0.44502078142785523,-0.03452093129902242,-0.3540922012199249,0.06721226948019113,-0.41765343472245275,-0.41281095881579677,-0.505106728098105,-0.45099590843866016,-5.6728124934039517e-5,0.06882032732422552
2,1,C5,-0.1560140615764735,0.014275040108804525,-0.30056629770337345,-0.3201394624147281,-0.35643546792457503,-0.22784272349572743,-0.5044274200957615,-0.039129193604393216,-0.4013606172824359,0.07618455835678813,-0.473406756186136,-0.4679178493071516,-0.572534349766863,-0.5112001777479644,-6.430086616525022e-5,0.07800727878577224
2,1,C6,-0.09698342286152532,0.008873829943583714,-0.1868418016526089,-0.19900911843648175,-0.22157189781018763,-0.141634458941872,-0.31356851614375686,-0.02432398138487805,-0.2494988340957027,0.047358803200013115,-0.29428506095393225,-0.2908729776358453,-0.35590600222256724,-0.317778682924142,-3.997151302038276e-5,0.04849186559410929
2,1,C7,-0.21200488255861308,0.019398111754837907,-0.4084344834163965,-0.43503212752616877,-0.4843541585514942,-0.30961164236384653,-0.6854579316514154,-0.05317200264443067,-0.5454021879233396,0.10352591416443373,-0.6433044735425979,-0.635845690363084,-0.7780072921414123,-0.6946613180394393,-8.737736484796865e-5,0.10600277827898373
2,1,C8,-0.011179091747309054,0.0010228692302496102,-0.021536893432698802,-0.022939396526858502,-0.025540164506073777,-0.016325930394851005,-0.03614443693169817,-0.002803778331783993,-0.028759248487083493,0.0054589577310715015,-0.03392167031435607,-0.03352836606362016,-0.04102459714115191,-0.03662973472095646,-4.60743906689735e-6,0.005589563643765598
2,1,C9,-0.16726068437543173,0.015304088323570922,-0.3222332919614024,-0.3432174320570662,-0.38212991635705124,-0.24426727614662896,-0.5407901996166823,-0.04194990909919693,-0.4302935956519528,0.08167649275222742,-0.5075333417227484,-0.5016487547068408,-0.6138067697411259,-0.5480511866621425,-6.893613801254066e-5,0.08363060806270875
2,1,C10,0.03947018386224536,-0.0036114594546290965,0.07604062680806134,0.08099246513671415,0.09017503494140132,0.05764220287055979,0.12761569575944004,0.009899341446153932,0.10154070215931699,-0.019274022452985345,0.11976774092979361,0.11837909581968561,0.14484614927912945,0.129329143810761,1.6267552965410242e-5,-0.019735154672315517
2,1,C11,-0.19975669192859444,0.018277421666155758,-0.3848379352973967,-0.40989894963037204,-0.4563714913846622,-0.2917244014136428,-0.6458568653250129,-0.05010008837194315,-0.5138925835826591,0.09754489563066308,-0.6061387454235054,-0.5991108796697985,-0.7330593574019465,-0.6545285430582085,-8.232929893320968e-5,0.09987866349444031
2,1,C12,-0.19570663432872337,0.01790684779546149,-0.37703536413183564,-0.4015882675696025,-0.447118580710172,-0.2858097027990127,-0.632762147543175,-0.04908431141996233,-0.5034734354501885,0.09556717742726584,-0.5938493106677661,-0.5869639345640022,-0.7181966131657553,-0.6412580074153125,-8.066007624225877e-5,0.09785362825659596
2,1,C13,-0.2386006790946241,0.02183158511256512,-0.45967217326644055,-0.48960646473330927,-0.5451158943037118,-0.3484521074800804,-0.7714479308636073,-0.059842376206947774,-0.6138223367672893,0.11651313462885203,-0.7240063643790715,-0.7156118844483579,-0.8756075143419798,-0.7818058726980158,-9.833876625204664e-5,0.11930071882325541
2,1,C14,-0.21274860252104807,0.01946616095621245,-0.4098672847509583,-0.4365582342536981,-0.48605328855385893,-0.3106977699862357,-0.6878625401728141,-0.05335853174381769,-0.5473154763807512,0.10388908640869624,-0.6455612063740462,-0.6380762575426892,-0.7807365668029314,-0.6970982123369776,-8.768388746064683e-5,0.10637463944240697
