Time,Sample,q_0,q_1,q_inf,Cohort
8,m7,5048,63.50498809760517,9.605273870745304,colonized_2
9,m7,3395,53.356086373423125,8.534443746071654,colonized_2
10,m7,3027,45.79501544169265,8.295724345511518,colonized_2
11,m7,2535,40.50628423796818,9.193946945601207,colonized_2
12,m7,2352,36.87173580428726,9.260196947063594,colonized_2
13,m7,1985,32.05802627085901,8.739511056351729,colonized_2
15,m7,1899,27.844850507391467,5.465867252153353,colonized_2
16,m7,1797,26.669268620493078,5.734013012417077,colonized_2
17,m7,1725,26.52481728252618,6.165490271725311,colonized_2
18,m7,1596,26.086723824415618,6.358863677086218,colonized_2
2,m8,120588,33200.0311043269,221.32918311569998,colonized_2
3,m8,72376,27175.618256182184,343.7482695172172,colonized_2
4,m8,49688,16648.25382642906,327.43531452570073,colonized_2
5,m8,21584,273.46467915632263,17.558444763110845,colonized_2
6,m8,5702,111.49144751185014,8.078691806064523,colonized_2
7,m8,3006,46.04995703011006,5.860593347662074,colonized_2
8,m8,2687,35.57948088934707,5.8838733855871395,colonized_2
9,m8,2517,32.28728979394334,5.851249076854907,colonized_2
10,m8,2226,29.194529197584988,5.678947985195361,colonized_2
11,m8,1921,30.017524399821255,6.594650122050448,colonized_2
12,m8,1987,28.47830355276431,6.806058457198999,colonized_2
13,m8,1668,25.76337501249958,6.999657838585352,colonized_2
14,m8,1334,24.136004192814728,5.852485359725445,colonized_2
15,m8,1482,23.204249908708075,4.976536936256417,colonized_2
16,m8,1276,20.348190907012913,4.1754255273360545,colonized_2
17,m8,1193,19.89382672879452,3.940173962864937,colonized_2
18,m8,1196,18.54489832886284,3.786995288038839,colonized_2
