Family,Time,Abundance,Abundance.family,Sample
Acholeplasmataceae,0,5144,0.09306196291270918,m8
Acholeplasmataceae,1,15,2.923235827178298e-4,m8
Acholeplasmataceae,2,0,0,m8
Acholeplasmataceae,3,0,0,m8
Acholeplasmataceae,4,0,0,m8
Acholeplasmataceae,5,0,0,m8
Acholeplasmataceae,6,0,0,m8
Acholeplasmataceae,7,0,0,m8
Acholeplasmataceae,8,0,0,m8
Acholeplasmataceae,9,0,0,m8
Acholeplasmataceae,10,0,0,m8
Acholeplasmataceae,11,0,0,m8
Acholeplasmataceae,12,0,0,m8
Acholeplasmataceae,13,0,0,m8
Acholeplasmataceae,14,0,0,m8
Acholeplasmataceae,15,77,0.0012833333333333334,m8
Acholeplasmataceae,16,0,0,m8
Acholeplasmataceae,17,0,0,m8
Acholeplasmataceae,18,0,0,m8
Akkermansiaceae,0,3321,0.06008141112618724,m8
Akkermansiaceae,1,12,2.3385886617426383e-4,m8
Akkermansiaceae,2,4,7.668270613269943e-5,m8
Akkermansiaceae,3,0,0,m8
Akkermansiaceae,4,0,0,m8
Akkermansiaceae,5,0,0,m8
Akkermansiaceae,6,0,0,m8
Akkermansiaceae,7,0,0,m8
Akkermansiaceae,8,0,0,m8
Akkermansiaceae,9,0,0,m8
Akkermansiaceae,10,0,0,m8
Akkermansiaceae,11,0,0,m8
Akkermansiaceae,12,0,0,m8
Akkermansiaceae,13,0,0,m8
Akkermansiaceae,14,0,0,m8
Akkermansiaceae,15,0,0,m8
Akkermansiaceae,16,0,0,m8
Akkermansiaceae,17,0,0,m8
Akkermansiaceae,18,0,0,m8
Bacteroidaceae,0,1190,0.02152872003618272,m8
Bacteroidaceae,1,0,0,m8
Bacteroidaceae,2,0,0,m8
Bacteroidaceae,3,0,0,m8
Bacteroidaceae,4,0,0,m8
Bacteroidaceae,5,0,0,m8
Bacteroidaceae,6,0,0,m8
Bacteroidaceae,7,0,0,m8
Bacteroidaceae,8,0,0,m8
Bacteroidaceae,9,0,0,m8
Bacteroidaceae,10,0,0,m8
Bacteroidaceae,11,0,0,m8
Bacteroidaceae,12,0,0,m8
Bacteroidaceae,13,0,0,m8
Bacteroidaceae,14,0,0,m8
Bacteroidaceae,15,0,0,m8
Bacteroidaceae,16,0,0,m8
Bacteroidaceae,17,0,0,m8
Bacteroidaceae,18,0,0,m8
Butyricicoccaceae,0,29,5.246494798733604e-4,m8
Butyricicoccaceae,1,0,0,m8
Butyricicoccaceae,2,0,0,m8
Butyricicoccaceae,3,0,0,m8
Butyricicoccaceae,4,0,0,m8
Butyricicoccaceae,5,0,0,m8
Butyricicoccaceae,6,0,0,m8
Butyricicoccaceae,7,0,0,m8
Butyricicoccaceae,8,0,0,m8
Butyricicoccaceae,9,0,0,m8
Butyricicoccaceae,10,0,0,m8
Butyricicoccaceae,11,0,0,m8
Butyricicoccaceae,12,0,0,m8
Butyricicoccaceae,13,0,0,m8
Butyricicoccaceae,14,0,0,m8
Butyricicoccaceae,15,0,0,m8
Butyricicoccaceae,16,0,0,m8
Butyricicoccaceae,17,0,0,m8
Butyricicoccaceae,18,0,0,m8
Chitinophagaceae,0,0,0,m8
Chitinophagaceae,1,0,0,m8
Chitinophagaceae,2,0,0,m8
Chitinophagaceae,3,0,0,m8
Chitinophagaceae,4,0,0,m8
Chitinophagaceae,5,0,0,m8
Chitinophagaceae,6,0,0,m8
Chitinophagaceae,7,3,5.799454851243983e-5,m8
Chitinophagaceae,8,0,0,m8
