Time,Family,Abundance,Abundance.family,Sample
2,Erwiniaceae,170,0.0028333333333333335,c_m1
2,Flavobacteriaceae,0,0,c_m1
2,Fusobacteriaceae,0,0,c_m1
2,Gemmataceae,0,0,c_m1
2,Hyphomonadaceae,0,0,c_m1
2,Ilumatobacteraceae,28,4.6666666666666666e-4,c_m1
2,Isosphaeraceae,0,0,c_m1
2,JG30-KF-CM45,0,0,c_m1
2,Kineosporiaceae,0,0,c_m1
2,LWQ8,0,0,c_m1
2,Lachnospiraceae,0,0,c_m1
2,Lactobacillaceae,51742,0.8623666666666666,c_m1
2,Leptotrichiaceae,0,0,c_m1
2,Leuconostocaceae,0,0,c_m1
2,Methanomassiliicoccaceae,0,0,c_m1
2,Methylophilaceae,0,0,c_m1
2,Microbacteriaceae,0,0,c_m1
2,Micrococcaceae,0,0,c_m1
2,Moraxellaceae,42,7e-4,c_m1
2,Omnitrophaceae,0,0,c_m1
2,Oxalobacteraceae,10,1.6666666666666666e-4,c_m1
2,Paenibacillaceae,498,0.0083,c_m1
2,Paracaedibacteraceae,0,0,c_m1
2,Pasteurellaceae,0,0,c_m1
2,Pectobacteriaceae,0,0,c_m1
2,Pedosphaeraceae,0,0,c_m1
2,Peptostreptococcaceae,0,0,c_m1
2,Phormidiaceae,0,0,c_m1
2,Pirellulaceae,0,0,c_m1
2,Planococcaceae,0,0,c_m1
2,Polyangiaceae,0,0,c_m1
2,Prolixibacteraceae,0,0,c_m1
2,Propionibacteriaceae,72,0.0012,c_m1
2,Pseudanabaenaceae,0,0,c_m1
2,Pseudomonadaceae,0,0,c_m1
2,Rhizobiaceae,12,2e-4,c_m1
2,Rhodanobacteraceae,59,9.833333333333332e-4,c_m1
2,Rhodobacteraceae,0,0,c_m1
2,Roseiflexaceae,0,0,c_m1
2,Rubinisphaeraceae,0,0,c_m1
2,Rubritaleaceae,13,2.1666666666666666e-4,c_m1
2,Rubrobacteriaceae,0,0,c_m1
2,Saccharimonadaceae,0,0,c_m1
2,Saprospiraceae,0,0,c_m1
2,Schlesneriaceae,18,3e-4,c_m1
2,Selenomonadaceae,0,0,c_m1
2,Sphingobacteriaceae,0,0,c_m1
2,Sphingomonadaceae,11,1.8333333333333334e-4,c_m1
2,Staphylococcaceae,190,0.0031666666666666666,c_m1
2,Streptococcaceae,0,0,c_m1
2,Terrimicrobiaceae,0,0,c_m1
2,Thermicanaceae,0,0,c_m1
2,Thermoactinomycetaceae,0,0,c_m1
2,Veillonellaceae,14,2.3333333333333333e-4,c_m1
2,Verrucomicrobiaceae,0,0,c_m1
2,Weeksellaceae,20,3.333333333333333e-4,c_m1
2,Xanthobacteraceae,0,0,c_m1
2,Xanthomonadaceae,105,0.00175,c_m1
2,Yersiniaceae,0,0,c_m1
2,env.OPS 17,0,0,c_m1
2,NA,15,2.5e-4,c_m1
3,A4b,0,0,c_m1
3,Actinomycetaceae,0,0,c_m1
3,Aerococcaceae,60,0.001,c_m1
3,Aeromonadaceae,0,0,c_m1
3,Alcaligenaceae,0,0,c_m1
3,Anaerococcus,0,0,c_m1
3,Anaerolineaceae,0,0,c_m1
3,Bacillaceae,5623,0.09371666666666667,c_m1
3,Bacteroidetes BD2-2,0,0,c_m1
3,Bdellovibrionaceae,0,0,c_m1
3,Beijerinckiaceae,36,6e-4,c_m1
3,Bifidobacteriaceae,0,0,c_m1
3,Blastocatellaceae,205,0.003416666666666667,c_m1
3,Brevibacteriaceae,0,0,c_m1
3,Burkholderiaceae,0,0,c_m1
3,Caldilineaceae,0,0,c_m1
3,Caulobacteraceae,0,0,c_m1
3,Cellulomonadaceae,57,9.5e-4,c_m1
3,Chitinophagaceae,0,0,c_m1
3,Chthoniobacteraceae,0,0,c_m1
3,Clostridiaceae,0,0,c_m1
3,Comamonadaceae,259,0.004316666666666667,c_m1
3,Corynebacteriaceae,7,1.1666666666666667e-4,c_m1
3,Crocinitomicaceae,0,0,c_m1
3,Defluviitaleaceae,0,0,c_m1
3,Devosiaceae,10,1.6666666666666666e-4,c_m1
