Family,Time,Abundance,Abundance.family,Sample
Akkermansiaceae,1,13,1.4444444444444444e-4,m1
Akkermansiaceae,2,3,3.3333333333333335e-5,m1
Akkermansiaceae,3,0,0,m1
Akkermansiaceae,4,5,6.826497733602752e-5,m1
Akkermansiaceae,5,4,4.811046161987924e-5,m1
Akkermansiaceae,6,0,0,m1
Akkermansiaceae,7,0,0,m1
Akkermansiaceae,8,0,0,m1
Akkermansiaceae,9,0,0,m1
Akkermansiaceae,10,0,0,m1
Akkermansiaceae,11,0,0,m1
Akkermansiaceae,12,0,0,m1
Akkermansiaceae,13,0,0,m1
Akkermansiaceae,17,0,0,m1
Akkermansiaceae,19,0,0,m1
Anaeroplasmataceae,1,7,7.777777777777778e-5,m1
Anaeroplasmataceae,2,8,8.888888888888889e-5,m1
Anaeroplasmataceae,3,0,0,m1
Anaeroplasmataceae,4,0,0,m1
Anaeroplasmataceae,5,0,0,m1
Anaeroplasmataceae,6,0,0,m1
Anaeroplasmataceae,7,0,0,m1
Anaeroplasmataceae,8,0,0,m1
Anaeroplasmataceae,9,0,0,m1
Anaeroplasmataceae,10,0,0,m1
Anaeroplasmataceae,11,0,0,m1
Anaeroplasmataceae,12,0,0,m1
Anaeroplasmataceae,13,0,0,m1
Anaeroplasmataceae,17,0,0,m1
Anaeroplasmataceae,19,0,0,m1
Bacteroidaceae,1,36,4e-4,m1
Bacteroidaceae,2,19,2.111111111111111e-4,m1
Bacteroidaceae,3,12,1.3333333333333334e-4,m1
Bacteroidaceae,4,19,2.594069138769046e-4,m1
Bacteroidaceae,5,0,0,m1
Bacteroidaceae,6,0,0,m1
Bacteroidaceae,7,0,0,m1
Bacteroidaceae,8,0,0,m1
Bacteroidaceae,9,0,0,m1
Bacteroidaceae,10,0,0,m1
Bacteroidaceae,11,0,0,m1
Bacteroidaceae,12,0,0,m1
Bacteroidaceae,13,0,0,m1
Bacteroidaceae,17,0,0,m1
Bacteroidaceae,19,4,4.4444444444444447e-5,m1
Beijerinckiaceae,1,0,0,m1
Beijerinckiaceae,2,0,0,m1
Beijerinckiaceae,3,0,0,m1
Beijerinckiaceae,4,0,0,m1
Beijerinckiaceae,5,0,0,m1
Beijerinckiaceae,6,18,2e-4,m1
Beijerinckiaceae,7,0,0,m1
Beijerinckiaceae,8,0,0,m1
Beijerinckiaceae,9,0,0,m1
Beijerinckiaceae,10,0,0,m1
Beijerinckiaceae,11,0,0,m1
Beijerinckiaceae,12,0,0,m1
Beijerinckiaceae,13,0,0,m1
Beijerinckiaceae,17,0,0,m1
Beijerinckiaceae,19,0,0,m1
Burkholderiaceae,1,0,0,m1
Burkholderiaceae,2,0,0,m1
Burkholderiaceae,3,0,0,m1
Burkholderiaceae,4,0,0,m1
Burkholderiaceae,5,0,0,m1
Burkholderiaceae,6,0,0,m1
Burkholderiaceae,7,0,0,m1
Burkholderiaceae,8,0,0,m1
Burkholderiaceae,9,5,5.555555555555556e-5,m1
Burkholderiaceae,10,4,5.00181315726951e-5,m1
Burkholderiaceae,11,0,0,m1
Burkholderiaceae,12,0,0,m1
Burkholderiaceae,13,0,0,m1
Burkholderiaceae,17,8,8.888888888888889e-5,m1
Burkholderiaceae,19,0,0,m1
Deferribacteraceae,1,19,2.111111111111111e-4,m1
Deferribacteraceae,2,21,2.3333333333333333e-4,m1
Deferribacteraceae,3,11,1.2222222222222221e-4,m1
Deferribacteraceae,4,4,5.461198186882202e-5,m1
Deferribacteraceae,5,5,6.0138077024849056e-5,m1
Deferribacteraceae,6,0,0,m1
Deferribacteraceae,7,0,0,m1
Deferribacteraceae,8,0,0,m1
Deferribacteraceae,9,0,0,m1
Deferribacteraceae,10,0,0,m1
Deferribacteraceae,11,0,0,m1
Deferribacteraceae,12,0,0,m1
Deferribacteraceae,13,0,0,m1
Deferribacteraceae,17,0,0,m1
Deferribacteraceae,19,0,0,m1
Desulfovibrionaceae,1,20,2.2222222222222223e-4,m1
Desulfovibrionaceae,2,14,1.5555555555555556e-4,m1
Desulfovibrionaceae,3,10,1.1111111111111112e-4,m1
Desulfovibrionaceae,4,0,0,m1
Desulfovibrionaceae,5,0,0,m1
Desulfovibrionaceae,6,5,5.555555555555556e-5,m1
Desulfovibrionaceae,7,0,0,m1
Desulfovibrionaceae,8,0,0,m1
Desulfovibrionaceae,9,0,0,m1
Desulfovibrionaceae,10,0,0,m1
Desulfovibrionaceae,11,0,0,m1
Desulfovibrionaceae,12,0,0,m1
Desulfovibrionaceae,13,0,0,m1
Desulfovibrionaceae,17,0,0,m1
Desulfovibrionaceae,19,0,0,m1
Enterobacteriaceae,1,89224,0.9913777777777778,m1
Enterobacteriaceae,2,89388,0.9932,m1
Enterobacteriaceae,3,89596,0.9955111111111111,m1
Enterobacteriaceae,4,73042,0.9972420949156244,m1
Enterobacteriaceae,5,83015,0.9984724928435689,m1
Enterobacteriaceae,6,89861,0.9984555555555555,m1
Enterobacteriaceae,7,89917,0.9990777777777777,m1
Enterobacteriaceae,8,89699,0.9966555555555555,m1
Enterobacteriaceae,9,79890,0.8876666666666667,m1
Enterobacteriaceae,10,50541,0.6319915969538958,m1
Enterobacteriaceae,11,49497,0.5499666666666667,m1
Enterobacteriaceae,12,38726,0.49505279574566,m1
Enterobacteriaceae,13,41229,0.46356491527901145,m1
Enterobacteriaceae,17,42665,0.47405555555555556,m1
Enterobacteriaceae,19,39149,0.43498888888888887,m1
Erysipelotrichaceae,1,0,0,m1
Erysipelotrichaceae,2,0,0,m1
Erysipelotrichaceae,3,0,0,m1
Erysipelotrichaceae,4,0,0,m1
Erysipelotrichaceae,5,0,0,m1
Erysipelotrichaceae,6,0,0,m1
Erysipelotrichaceae,7,0,0,m1
Erysipelotrichaceae,8,0,0,m1
Erysipelotrichaceae,9,0,0,m1
Erysipelotrichaceae,10,0,0,m1
Erysipelotrichaceae,11,51,5.666666666666667e-4,m1
Erysipelotrichaceae,12,83,0.0010610283026103852,m1
Erysipelotrichaceae,13,42,4.722337782075355e-4,m1
Erysipelotrichaceae,17,767,0.008522222222222223,m1
Erysipelotrichaceae,19,976,0.010844444444444445,m1
Lachnospiraceae,1,102,0.0011333333333333334,m1
Lachnospiraceae,2,101,0.0011222222222222222,m1
Lachnospiraceae,3,86,9.555555555555555e-4,m1
Lachnospiraceae,4,37,5.051608322866037e-4,m1
Lachnospiraceae,5,27,3.247456159341849e-4,m1
Lachnospiraceae,6,16,1.7777777777777779e-4,m1
Lachnospiraceae,7,0,0,m1
Lachnospiraceae,8,18,2e-4,m1
Lachnospiraceae,9,0,0,m1
Lachnospiraceae,10,0,0,m1
Lachnospiraceae,11,0,0,m1
Lachnospiraceae,12,0,0,m1
Lachnospiraceae,13,0,0,m1
Lachnospiraceae,17,85,9.444444444444445e-4,m1
Lachnospiraceae,19,178,0.001977777777777778,m1
Marinifilaceae,1,14,1.5555555555555556e-4,m1
Marinifilaceae,2,0,0,m1
Marinifilaceae,3,6,6.666666666666667e-5,m1
Marinifilaceae,4,2,2.730599093441101e-5,m1
Marinifilaceae,5,10,1.2027615404969811e-4,m1
Marinifilaceae,6,0,0,m1
Marinifilaceae,7,0,0,m1
Marinifilaceae,8,0,0,m1
Marinifilaceae,9,0,0,m1
Marinifilaceae,10,0,0,m1
Marinifilaceae,11,0,0,m1
Marinifilaceae,12,0,0,m1
Marinifilaceae,13,0,0,m1
Marinifilaceae,17,0,0,m1
Marinifilaceae,19,0,0,m1
Methanobacteriaceae,1,0,0,m1
Methanobacteriaceae,2,8,8.888888888888889e-5,m1
Methanobacteriaceae,3,0,0,m1
Methanobacteriaceae,4,0,0,m1
Methanobacteriaceae,5,7,8.419330783478868e-5,m1
Methanobacteriaceae,6,0,0,m1
Methanobacteriaceae,7,0,0,m1
Methanobacteriaceae,8,0,0,m1
Methanobacteriaceae,9,0,0,m1
Methanobacteriaceae,10,0,0,m1
Methanobacteriaceae,11,0,0,m1
Methanobacteriaceae,12,0,0,m1
Methanobacteriaceae,13,0,0,m1
Methanobacteriaceae,17,0,0,m1
Methanobacteriaceae,19,0,0,m1
Muribaculaceae,1,479,0.005322222222222222,m1
Muribaculaceae,2,350,0.0038888888888888888,m1
Muribaculaceae,3,231,0.0025666666666666667,m1
Muribaculaceae,4,113,0.0015427884877942221,m1
Muribaculaceae,5,56,6.735464626783094e-4,m1
Muribaculaceae,6,41,4.5555555555555556e-4,m1
Muribaculaceae,7,39,4.333333333333333e-4,m1
Muribaculaceae,8,24,2.666666666666667e-4,m1
Muribaculaceae,9,0,0,m1
Muribaculaceae,10,0,0,m1
Muribaculaceae,11,0,0,m1
Muribaculaceae,12,0,0,m1
Muribaculaceae,13,5,5.621830692946851e-5,m1
Muribaculaceae,17,21,2.3333333333333333e-4,m1
Muribaculaceae,19,23,2.555555555555556e-4,m1
Paenibacillaceae,1,0,0,m1
Paenibacillaceae,2,3,3.3333333333333335e-5,m1
Paenibacillaceae,3,0,8.636950438206121e-5,m1
Paenibacillaceae,4,0,1.394056754307891e-4,m1
Paenibacillaceae,5,16,1.9244184647951697e-4,m1
Paenibacillaceae,6,28,3.111111111111111e-4,m1
Paenibacillaceae,7,39,4.333333333333333e-4,m1
Paenibacillaceae,8,259,0.0028777777777777777,m1
Paenibacillaceae,9,10105,0.11227777777777778,m1
Paenibacillaceae,10,29426,0.36795838491453153,m1
Paenibacillaceae,11,40452,0.4494666666666667,m1
Paenibacillaceae,12,39401,0.5036816403753228,m1
Paenibacillaceae,13,47447,0.5334780017764985,m1
Paenibacillaceae,17,44293,0.49214444444444444,m1
Paenibacillaceae,19,49009,0.5445444444444445,m1
Peptococcaceae,1,21,2.3333333333333333e-4,m1
Peptococcaceae,2,27,3e-4,m1
Peptococcaceae,3,15,1.6666666666666666e-4,m1
Peptococcaceae,4,13,1.7748894107367155e-4,m1
Peptococcaceae,5,2,2.405523080993962e-5,m1
Peptococcaceae,6,0,0,m1
Peptococcaceae,7,0,0,m1
Peptococcaceae,8,0,0,m1
Peptococcaceae,9,0,0,m1
Peptococcaceae,10,0,0,m1
Peptococcaceae,11,0,0,m1
Peptococcaceae,12,0,0,m1
Peptococcaceae,13,0,0,m1
Peptococcaceae,17,0,0,m1
Peptococcaceae,19,0,0,m1
Prevotellaceae,1,16,1.7777777777777779e-4,m1
Prevotellaceae,2,9,1e-4,m1
Prevotellaceae,3,18,2e-4,m1
Prevotellaceae,4,7,9.557096827043854e-5,m1
Prevotellaceae,5,0,0,m1
Prevotellaceae,6,0,0,m1
Prevotellaceae,7,2,2.2222222222222223e-5,m1
Prevotellaceae,8,0,0,m1
Prevotellaceae,9,0,0,m1
Prevotellaceae,10,0,0,m1
Prevotellaceae,11,0,0,m1
Prevotellaceae,12,0,0,m1
Prevotellaceae,13,0,0,m1
Prevotellaceae,17,0,0,m1
Prevotellaceae,19,4,4.4444444444444447e-5,m1
Ruminococcaceae,1,46,5.111111111111112e-4,m1
Ruminococcaceae,2,30,3.333333333333333e-4,m1
