Time,Family,Abundance,Abundance.family,Sample
1,A4b,159,0.00265,c_m2
1,Alcaligenaceae,0,0,c_m2
1,Armatimonadaceae,0,0,c_m2
1,Babeliaceae,0,0,c_m2
1,Bacillaceae,6433,0.10721666666666667,c_m2
1,Beijerinckiaceae,0,0,c_m2
1,Burkholderiaceae,0,0,c_m2
1,Caulobacteraceae,85,0.0014166666666666668,c_m2
1,Chitinophagaceae,0,0,c_m2
1,Chthoniobacteraceae,6,1e-4,c_m2
1,Comamonadaceae,25,4.166666666666667e-4,c_m2
1,Corynebacteriaceae,401,0.006683333333333334,c_m2
1,Crocinitomicaceae,0,0,c_m2
1,Cyclobacteriaceae,0,0,c_m2
1,Cytophagaceae,0,0,c_m2
1,Desulfitobacteriaceae,0,0,c_m2
1,Devosiaceae,0,0,c_m2
1,Eggerthellaceae,0,0,c_m2
1,Enterobacteriaceae,1120,0.018666666666666668,c_m2
1,Enterococcaceae,2443,0.040716666666666665,c_m2
1,Erwiniaceae,6,1e-4,c_m2
1,Flavobacteriaceae,7,1.1666666666666667e-4,c_m2
1,Gemmataceae,1,1.6666666666666667e-5,c_m2
1,Geodermatophilaceae,0,0,c_m2
1,Hymenobacteraceae,0,0,c_m2
1,Intrasporangiaceae,0,0,c_m2
1,Isosphaeraceae,0,0,c_m2
1,KD3-93,0,0,c_m2
1,Kineosporiaceae,0,0,c_m2
1,Ktedonobacteraceae,0,0,c_m2
1,Lachnospiraceae,2,3.3333333333333335e-5,c_m2
1,Lactobacillaceae,47269,0.7878166666666667,c_m2
1,Legionellaceae,0,0,c_m2
1,Leptotrichiaceae,0,0,c_m2
1,Methylophilaceae,0,0,c_m2
1,Microbacteriaceae,301,0.005016666666666667,c_m2
1,Micrococcaceae,252,0.0042,c_m2
1,Micromonosporaceae,0,0,c_m2
1,Moraxellaceae,260,0.004333333333333333,c_m2
1,NS11-12 marine group,0,0,c_m2
1,Neisseriaceae,9,1.5e-4,c_m2
1,Nitrosopumilaceae,120,0.002,c_m2
1,Nitrososphaeraceae,0,0,c_m2
1,Oxalobacteraceae,69,0.00115,c_m2
1,Paenibacillaceae,45,7.5e-4,c_m2
1,Pedosphaeraceae,0,0,c_m2
1,Peptoniphilus,32,5.333333333333334e-4,c_m2
1,Phycisphaeraceae,0,0,c_m2
1,Pirellulaceae,0,0,c_m2
1,Planococcaceae,0,0,c_m2
1,Prevotellaceae,0,0,c_m2
1,Propionibacteriaceae,8,1.3333333333333334e-4,c_m2
1,Pseudomonadaceae,112,0.0018666666666666666,c_m2
1,Pseudonocardiaceae,407,0.006783333333333333,c_m2
1,Rhizobiaceae,0,0,c_m2
1,Rhodanobacteraceae,0,0,c_m2
1,Rhodocyclaceae,1,1.6666666666666667e-5,c_m2
1,Roseiflexaceae,7,1.1666666666666667e-4,c_m2
1,Rubinisphaeraceae,0,0,c_m2
1,Rubritaleaceae,54,9e-4,c_m2
1,Saccharimonadaceae,0,0,c_m2
1,Saprospiraceae,0,0,c_m2
1,Sphingobacteriaceae,0,0,c_m2
1,Sphingomonadaceae,0,0,c_m2
1,Spirosomaceae,231,0.00385,c_m2
1,Staphylococcaceae,65,0.0010833333333333333,c_m2
1,Streptococcaceae,0,0,c_m2
1,UBA12409,0,0,c_m2
1,Unknown Family,0,0,c_m2
1,Veillonellaceae,6,1e-4,c_m2
1,Verrucomicrobiaceae,0,0,c_m2
1,Vicinamibacteraceae,0,0,c_m2
1,Weeksellaceae,0,0,c_m2
1,Xanthobacteraceae,15,2.5e-4,c_m2
1,Xanthomonadaceae,0,0,c_m2
1,Yersiniaceae,0,0,c_m2
1,env.OPS 17,0,0,c_m2
1,NA,49,8.166666666666667e-4,c_m2
2,A4b,0,0,c_m2
2,Alcaligenaceae,0,0,c_m2
2,Armatimonadaceae,0,0,c_m2
2,Babeliaceae,0,0,c_m2
2,Bacillaceae,1836,0.0306,c_m2
2,Beijerinckiaceae,0,0,c_m2
2,Burkholderiaceae,0,0,c_m2
2,Caulobacteraceae,0,0,c_m2
2,Chitinophagaceae,0,0,c_m2
2,Chthoniobacteraceae,0,0,c_m2
2,Comamonadaceae,31,5.166666666666667e-4,c_m2
2,Corynebacteriaceae,9,1.5e-4,c_m2
2,Crocinitomicaceae,0,0,c_m2
2,Cyclobacteriaceae,0,0,c_m2
2,Cytophagaceae,0,0,c_m2
2,Desulfitobacteriaceae,0,0,c_m2
2,Devosiaceae,0,0,c_m2
2,Eggerthellaceae,0,0,c_m2
2,Enterobacteriaceae,400,0.006666666666666667,c_m2
2,Enterococcaceae,408,0.0068,c_m2
2,Erwiniaceae,8,1.3333333333333334e-4,c_m2
2,Flavobacteriaceae,0,0,c_m2
2,Gemmataceae,0,0,c_m2
2,Geodermatophilaceae,0,0,c_m2
2,Hymenobacteraceae,21,3.5e-4,c_m2
2,Intrasporangiaceae,0,0,c_m2
2,Isosphaeraceae,0,0,c_m2
2,KD3-93,0,0,c_m2
2,Kineosporiaceae,0,0,c_m2
2,Ktedonobacteraceae,0,0,c_m2
2,Lachnospiraceae,70,0.0011666666666666668,c_m2
2,Lactobacillaceae,57016,0.9502666666666667,c_m2
2,Legionellaceae,0,0,c_m2
2,Leptotrichiaceae,0,0,c_m2
2,Methylophilaceae,0,0,c_m2
2,Microbacteriaceae,4,6.666666666666667e-5,c_m2
2,Micrococcaceae,0,0,c_m2
2,Micromonosporaceae,0,0,c_m2
2,Moraxellaceae,0,0,c_m2
2,NS11-12 marine group,0,0,c_m2
2,Neisseriaceae,0,0,c_m2
2,Nitrosopumilaceae,0,0,c_m2
2,Nitrososphaeraceae,0,0,c_m2
2,Oxalobacteraceae,0,0,c_m2
2,Paenibacillaceae,3,5e-5,c_m2
2,Pedosphaeraceae,0,0,c_m2
2,Peptoniphilus,0,0,c_m2
2,Phycisphaeraceae,0,0,c_m2
2,Pirellulaceae,0,0,c_m2
2,Planococcaceae,0,0,c_m2
2,Prevotellaceae,0,0,c_m2
2,Propionibacteriaceae,19,3.1666666666666665e-4,c_m2
2,Pseudomonadaceae,0,0,c_m2
2,Pseudonocardiaceae,0,0,c_m2
2,Rhizobiaceae,11,1.8333333333333334e-4,c_m2
2,Rhodanobacteraceae,0,0,c_m2
