Time,Family,Abundance,Abundance.family,Sample
3,Enterococcaceae,19,3.1666666666666665e-4,m5
3,Erysipelotrichaceae,0,0,m5
3,Lachnospiraceae,21,3.5e-4,m5
3,Lactobacillaceae,636,0.0106,m5
3,Marinifilaceae,0,0,m5
3,Microbacteriaceae,0,0,m5
3,Monoglobaceae,0,0,m5
3,Muribaculaceae,16,2.666666666666667e-4,m5
3,Oscillospiraceae,2,3.3333333333333335e-5,m5
3,Paenibacillaceae,0,0,m5
3,Peptococcaceae,0,0,m5
3,Peptostreptococcaceae,0,0,m5
3,Prevotellaceae,0,0,m5
3,Propionibacteriaceae,0,0,m5
3,Rhizobiaceae,0,0,m5
3,Rikenellaceae,2,3.3333333333333335e-5,m5
3,Ruminiclostridium,0,0,m5
3,Ruminococcaceae,1,1.6666666666666667e-5,m5
3,Saccharimonadaceae,0,0,m5
3,Sutterellaceae,10,1.6666666666666666e-4,m5
3,Tannerellaceae,0,0,m5
3,UCG-010,0,0,m5
3,[Eubacterium] coprostanoligenes group,0,0,m5
4,Acholeplasmataceae,5,8.333333333333333e-5,m5
4,Akkermansiaceae,0,0,m5
4,Anaerovoracaceae,0,0,m5
4,Atopobiaceae,0,0,m5
4,Bacillaceae,36,6e-4,m5
4,Bacteroidaceae,0,0,m5
4,Beijerinckiaceae,0,0,m5
4,Bifidobacteriaceae,0,0,m5
4,Butyricicoccaceae,0,0,m5
4,Chitinophagaceae,0,0,m5
4,Christensenellaceae,0,0,m5
4,Clostridiaceae,0,0,m5
4,Comamonadaceae,0,0,m5
4,Corynebacteriaceae,0,0,m5
4,Deferribacteraceae,0,0,m5
4,Desulfovibrionaceae,0,0,m5
4,Eggerthellaceae,0,0,m5
4,Enterobacteriaceae,59105,0.9850833333333333,m5
4,Enterococcaceae,16,2.666666666666667e-4,m5
4,Erysipelotrichaceae,0,0,m5
4,Lachnospiraceae,0,0,m5
4,Lactobacillaceae,826,0.013766666666666667,m5
4,Marinifilaceae,0,0,m5
4,Microbacteriaceae,9,1.5e-4,m5
4,Monoglobaceae,0,0,m5
4,Muribaculaceae,0,0,m5
4,Oscillospiraceae,0,0,m5
4,Paenibacillaceae,0,0,m5
4,Peptococcaceae,0,0,m5
4,Peptostreptococcaceae,0,0,m5
4,Prevotellaceae,0,0,m5
4,Propionibacteriaceae,2,3.3333333333333335e-5,m5
4,Rhizobiaceae,0,0,m5
4,Rikenellaceae,0,0,m5
4,Ruminiclostridium,0,0,m5
4,Ruminococcaceae,0,0,m5
4,Saccharimonadaceae,0,0,m5
4,Sutterellaceae,0,0,m5
4,Tannerellaceae,0,0,m5
4,UCG-010,0,0,m5
4,[Eubacterium] coprostanoligenes group,1,1.6666666666666667e-5,m5
5,Acholeplasmataceae,15,2.5e-4,m5
5,Akkermansiaceae,0,0,m5
5,Anaerovoracaceae,0,0,m5
5,Atopobiaceae,0,0,m5
5,Bacillaceae,0,0,m5
5,Bacteroidaceae,0,0,m5
5,Beijerinckiaceae,0,0,m5
5,Bifidobacteriaceae,0,0,m5
5,Butyricicoccaceae,0,0,m5
5,Chitinophagaceae,0,0,m5
5,Christensenellaceae,0,0,m5
5,Clostridiaceae,0,0,m5
5,Comamonadaceae,0,0,m5
5,Corynebacteriaceae,0,0,m5
5,Deferribacteraceae,0,0,m5
5,Desulfovibrionaceae,0,0,m5
5,Eggerthellaceae,0,0,m5
5,Enterobacteriaceae,59622,0.9937,m5
5,Enterococcaceae,0,0,m5
5,Erysipelotrichaceae,0,0,m5
5,Lachnospiraceae,0,0,m5
5,Lactobacillaceae,357,0.00595,m5
5,Marinifilaceae,0,0,m5
5,Microbacteriaceae,0,0,m5
5,Monoglobaceae,0,0,m5
5,Muribaculaceae,0,0,m5
5,Oscillospiraceae,0,0,m5
5,Paenibacillaceae,0,0,m5
5,Peptococcaceae,0,0,m5
5,Peptostreptococcaceae,0,0,m5
5,Prevotellaceae,0,0,m5
5,Propionibacteriaceae,0,0,m5
5,Rhizobiaceae,0,0,m5
5,Rikenellaceae,0,0,m5
5,Ruminiclostridium,0,0,m5
5,Ruminococcaceae,0,0,m5
5,Saccharimonadaceae,0,0,m5
5,Sutterellaceae,6,1e-4,m5
